obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,pbw_transition_status,proof_reference,check_status,notes
radical_quotient_transition_input,radical_quotient,descended radical quotient transition,pbw_transition_matrices.csv,quotient_transition,imports the transition matrix on the primitive radical quotient,PBW filtration is defined on the radical quotient before enveloping,missing_open_obligation,certificates/hall/transition_radical_preservation/README.md:1,verified,no quotient transition input row supplied
source_pbw_filtration_rows,pbw_filtration,source PBW filtration rows,pbw_filtration_rows.csv,source_pbw_filtration,finite filtered pieces and associated-graded ranks in source radical quotient bases,filteredness cannot be stated without source filtered subspaces,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:33,verified,no source PBW filtration rows supplied
target_pbw_filtration_rows,pbw_filtration,target PBW filtration rows,pbw_filtration_rows.csv,target_pbw_filtration,finite filtered pieces and associated-graded ranks in target PBW bases,the image condition must land in an explicit target filtered piece,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:33,verified,no target PBW filtration rows supplied
associated_graded_rank_rows,pbw_filtration,PBW associated graded rank rows,pbw_filtration_rows.csv,associated_graded_rank,source target and comparison ranks on every retained PBW grade,rank comparison is part of recognition clause R7 before transition strictness,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:33,verified,no associated-graded rank rows supplied
source_ordered_word_basis,word_basis,source ordered PBW word basis,ordered_word_bases.csv,source_word_basis,ordered monomial basis built from source radical quotient generators,the PBW filtration is a filtration by word length in specified generators,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no source ordered word basis supplied
target_ordered_word_basis,word_basis,target ordered PBW word basis,ordered_word_bases.csv,target_word_basis,ordered monomial basis built from target BKM generators,associated graded transition needs target symbol coordinates,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no target ordered word basis supplied
source_relation_rewrite_system,relations,source enveloping relation rewrite system,pbw_relation_rewrites.csv,source_rewrite,normal form for source ordered words modulo Lie superalgebra relations,the multiplicative lift must descend to the source enveloping algebra,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no source rewrite system supplied
target_relation_rewrite_system,relations,target enveloping relation rewrite system,pbw_relation_rewrites.csv,target_rewrite,normal form for target ordered words modulo BKM relations,the transitioned word must be compared in target normal form,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no target rewrite system supplied
quotient_transition_matrix,transition,radical quotient transition matrix,pbw_transition_matrices.csv,quotient_transition_matrix,finite transition matrix on quotient generators,PBW word transitions are generated by the quotient transition on degree-one symbols,missing_open_obligation,certificates/hall/transition_radical_preservation/blocked_obligations.csv:14,verified,no quotient transition matrix supplied
multiplicative_word_transition,transition,multiplicative lift to ordered words,pbw_transition_matrices.csv,multiplicative_word_transition,word-level map induced by multiplying transitioned quotient generators,filteredness is not a statement about generators alone unless the multiplicative lift is supplied,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no multiplicative word transition supplied
relation_rewrite_compatibility,transition,relation rewrite compatibility,transition_defects.csv,relation_rewrite_defect_zero,zero defect for source relations mapped into target relations,the word-level map must descend to enveloping quotients,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no relation rewrite compatibility row supplied
filtered_image_identity,transition,filtered image identity,transition_defects.csv,filtered_image_defect_zero,target coordinates of transitioned source F_le_d words have no component above d,this is the finite matrix statement that T carries F_le_d into F_le_d,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no filtered image row supplied
restricted_filtered_transition_matrix,transition,restricted filtered transition matrix,pbw_transition_matrices.csv,restricted_filtered_transition,transition matrix on each filtered PBW piece,PBW preservation is a map of filtered subspaces not only a rank equality,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no restricted filtered transition row supplied
associated_graded_transition_matrix,associated_graded,associated graded transition matrix,associated_graded_transition.csv,associated_graded_transition,induced matrix on gr_PBW for every retained grade,the later recognition comparison uses the associated graded tower,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no associated graded transition row supplied
pbw_symbol_intertwining_identity,associated_graded,PBW symbol intertwining identity,associated_graded_transition.csv,symbol_intertwining,zero defect between transitioned symbols and symbols of transitioned generators,the associated graded map must be induced by the degree-one quotient transition,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,no symbol intertwining row supplied
a_beta_pbw_transition_square,comparison,A beta PBW transition square,associated_graded_transition.csv,a_beta_pbw_square,zero defect for A_beta gr_PBW square with source and target transitions,comparison maps must respect PBW filtration through the cofinal transition system,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:39,verified,no A_beta PBW transition square supplied
pbw_transition_composition,defect,PBW transition composition law,transition_defects.csv,composition_defect_zero,successive filtered PBW transitions compose with zero defect,the PBW-filtered pieces must form a functorial inverse system before ML exactness is tested,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:transition-pbw-filtration-preservation,verified,no PBW transition composition row supplied
no_scalar_pbw_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_pbw_substitution_excluded,excludes scalar traces denominator products signed multiplicities target PBW rows rank equalities and formal pushforward packets,prevents scalar or target data from being read as compact source PBW transition preservation,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-transition,verified,firewall rows supplied but PBW transition data absent
