coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,criterion_rows.csv,verified,one_row346_two_step_flag_criterion_recorded
associativity_rows,associativity_rows,0,0,0,associativity_rows.csv,verified,no_populated_compact_Hall_associativity_rows_supplied
row342_product_operator_rows,product_operator,0,0,0,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,verified,row342_has_no_product_operator_rows
row344_pushforward_rows,pushforward_functor,0,0,0,certificates/hall/finite_hall_product_pushforward_functor/pushforward_rows.csv,verified,row344_has_no_populated_q_bang_rows
row345_independence_rows,compactification_independence,0,0,0,certificates/hall/finite_hall_product_compactification_independence/independence_rows.csv,verified,row345_has_no_populated_independence_rows
finite_moduli_extension_flag_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,verified,no_compact_Hall_flag_stack_rows_supplied
compact_support_base_change_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,verified,no_compact_support_base_change_rows
compact_support_projection_formula_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,verified,no_compact_support_projection_formula_rows
compact_support_thom_sebastiani_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,verified,no_compact_support_TS_rows
hybrid_two_step_flag_rows,hybrid_two_step_flags,8,8,0,certificates/hybrid/eight_word_two_step_flag_stacks/flag_stack_rows.csv,verified,eight_hybrid_flag_rows_exist_before_compact_population
hybrid_comparison_map_rows,hybrid_two_step_flags,16,16,0,certificates/hybrid/eight_word_two_step_flag_stacks/comparison_map_rows.csv,verified,left_and_right_hybrid_comparison_maps_exist
hybrid_flag_associativity_rows,hybrid_two_step_flags,0,0,0,certificates/hybrid/eight_word_two_step_flag_stacks/associativity_rows.csv,verified,flag_stack_packet_itself_has_no_associativity_rows
wordwise_associativity_packets,hybrid_word_associativity,8,8,0,certificates/hybrid/*_associativity/manifest.json,verified,eight_conditional_wordwise_associativity_packets_imported
compact_source_product_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_matrix_rows
compact_source_bialgebra_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,verified,no_Hall_bialgebra_associativity_rows
