firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_ww_definition,wrapped_wrapped_definition_only,true,0,certificates/hybrid/wrapped_wrapped_correspondence_definition/README.md:1,verified,the definition packet does not prove target admissibility
firewall_mixed_admissibility,mixed_admissibility_only,true,0,certificates/hybrid/mixed_local_wrapped_extension_admissibility/README.md:1,verified,mixed target admissibility is not WW target admissibility
firewall_local_local,local_local_properness_only,true,0,certificates/hybrid/local_local_extension_properness/README.md:1,verified,local-local target properness is not WW target admissibility
firewall_wrapped_ft,wrapped_prequotient_finite_type_only,true,0,certificates/hybrid/wrapped_prequotient_finite_type/README.md:1,verified,finite type of wrapped prequotients does not prove WW q properness by itself
firewall_extension_closure,extension_closure_only,true,0,certificates/moduli/retained_extension_closure/README.md:1,verified,extension closure does not construct the WW relative Quot locus
firewall_closed_substacks,retained_closed_substacks_only,true,0,certificates/moduli/retained_closed_substacks/README.md:1,verified,closed retained endpoint rows do not by themselves prove q properness
firewall_source_properness,source_map_properness,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:wrapped-wrapped-target-admissibility,verified,the source map is not proper in general
firewall_compact_support,compact_support_model,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:wrapped-wrapped-target-admissibility,verified,the compact-support exceptional pushforward model remains a later row
firewall_symmetric_descent,symmetric_descent,true,0,chapters/05_subsections/05_1_hybrid.tex:def:wrapped-wrapped-correspondence-datum,verified,target properness is not symmetric descent
firewall_ts,thom_sebastiani,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:wrapped-wrapped-target-admissibility,verified,target properness is not Thom-Sebastiani transport
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:cor:no-quotient-first-hybrid-repair,verified,WW admissibility is checked before the E quotient
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar trace is not a WW extension stack
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no populated WW correspondence rows
