firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace is not a primitive-subspace transition identity
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds product is a target denominator and not a compact Hall primitive transition map
firewall_signed_multiplicities,signed_multiplicities,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,signed multiplicities do not compute primitive kernels
firewall_target_bkm_root_space,target_bkm_root_space,true,0,chapters/04_view2_bkm.tex,verified,target root spaces do not supply compact source primitive kernels
firewall_bar_coalgebra_primitives,bar_coalgebra_primitives,true,0,certificates/charge/bar_pushforward_commutation,verified,formal bar primitives are not compact Hall primitives
firewall_hall_product_preservation,hall_product_preservation,true,0,certificates/hall/transition_hall_product_preservation,verified,preservation of multiplication does not preserve primitive kernels
firewall_hall_coproduct_without_kernels,hall_coproduct_preservation_without_kernels,true,0,certificates/hall/transition_hall_coproduct_preservation,verified,coproduct preservation cannot be read as a finite primitive transition row without primitive kernel and projection data
firewall_normal_ordered_degree_map,normal_ordered_degree_map,true,0,certificates/charge/hall_pairing_pushforward_compatibility,verified,degree preservation does not compute a primitive kernel
firewall_abstract_kernel_matrix,abstract_kernel_matrix,true,0,chapters/05_subsections/05_3_hall.tex,verified,an abstract kernel without compact Hall coproduct and counit provenance is not a K3xE primitive row
firewall_primitive_rank_only,primitive_rank_only,true,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,a rank equality without explicit inclusion and transition matrix does not prove subspace preservation
