obligation_id,lane,required_artifact,required_table,required_row_type,cohomology_or_rank_payload,why_required,orientation_status,proof_reference,check_status,notes
orientation_square_root,orientation_line,determinant square root row,orientation_lines.csv,square_root,square_defect_rank=0 for det_complex_id and square_root_id,O1 requires an actual square root of the reduced determinant line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:95,verified,no orientation line row supplied
orientation_class_zero,orientation_line,reduced orientation class row,orientation_lines.csv,orientation_class_rank,orientation_class_rank=0 for retained stratum,O1 requires the Joyce-Upmeier obstruction class to vanish,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:135,verified,no orientation class row supplied
ts_multiplicativity,multiplicativity,Thom-Sebastiani isomorphism row,ts_multiplicativity.csv,ts_isomorphism,extension_stack_id left_line_id right_line_id target_line_id ts_isomorphism_id,Hall products require multiplicative orientation on extension correspondences,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:144,verified,no TS row supplied
ts_pentagon,multiplicativity,flag pentagon row,ts_multiplicativity.csv,pentagon_defect,pentagon_defect_rank=0,Associativity of oriented Hall products requires pentagon coherence,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:145,verified,no pentagon row supplied
borel_reduced_gerbe,quotient_borel,reduced gerbe null-trivialization,quotient_borel.csv,reduced_gerbe,alpha_red=0 with null_trivialization_id,Strong reduced orientation requires the ordinary reduced gerbe to vanish,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:72,verified,no reduced gerbe row supplied
borel_free_E,quotient_borel,free E quotient Borel class,quotient_borel.csv,free_E,alpha_E_free=0 with null_trivialization_id,Descent through the free E quotient requires this Borel class to vanish,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:79,verified,no free E row supplied
borel_finite_stabilizer,quotient_borel,finite-stabilizer Borel class,quotient_borel.csv,finite_stabilizer_borel,tilde_beta_H=0 and beta_H=0 after edge reduction,Finite stabilizer strata require equivariant gerbe null-trivialization,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:83,verified,no finite stabilizer Borel row supplied
borel_linearization,quotient_borel,zero stabilizer linearization,quotient_borel.csv,linearization,lambda_H=0 in H1(BH;F2),Orientation descent requires zero degree-one linearization character,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:106,verified,no linearization row supplied
finite_edge_reduction,finite_stabilizer,Borel spectral sequence edge reduction,finite_stabilizers.csv,edge_reduction,ordinary mixed and incoming differential terms vanish,Finite-stabilizer equations apply only after classifying-space edge reduction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:157,verified,no edge reduction row supplied
finite_odd_transfer,finite_stabilizer,odd torsion transfer row,finite_stabilizers.csv,odd_transfer,H_positive_degree_zero_by_transfer,Odd-order stabilizer classes vanish only after transfer is invoked,missing_open_obligation,appendices/G_obstruction_discharges.tex:381,verified,no odd transfer row supplied
