obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_negative_root_charts,compact_Hall,retained_negative_root_source_charts,negative_root_compatibility_rows.csv,negative_chart_row,charts_for_minus_gamma,negative_root_orientation_requires_source_charts_not_only_dual_closure,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_negative_root_chart_rows_supplied
source_duality_lift,duality,compact_source_duality_lift,negative_root_compatibility_rows.csv,source_duality_lift,duality_map_between_positive_and_negative_charts,retained_dual_closure_is_not_a_compact_Hall_duality_lift,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_source_duality_lift_row_supplied
source_positive_negative_pairing,hopf_pairing,source_positive_negative_pairing_matrix,negative_root_compatibility_rows.csv,pairing_matrix,G_gamma_pairing_positive_and_negative_blocks,target_formal_blocks_do_not_supply_source_G_entries,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_G_entries_supplied
source_pairing_off_parity_zero,hopf_pairing,off_parity_zero_pairing_blocks,negative_root_compatibility_rows.csv,off_parity_zero,even_odd_and_odd_even_pairing_blocks_zero,orientation_compatibility_requires_parity_respecting_pairing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_off_parity_zero_row_supplied
hopf_pairing_identities,hopf_pairing,Hopf_pairing_identity_rows,negative_root_compatibility_rows.csv,hopf_pairing_identity,Hopf_adjointness_and_Frobenius_cyclic_defects_zero,negative_root_pairing_must_be_Hall_compatible,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_Hopf_pairing_identity_row_supplied
source_radical_quotient,radical,source_radical_quotient_rows,negative_root_compatibility_rows.csv,radical_quotient,radical_kernel_and_quotient_nondegeneracy_rows,compatibility_is_modulo_the_recorded_radical,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_radical_quotient_row_supplied
source_negative_parity_blocks,source_parity,source_negative_root_parity_blocks,negative_root_compatibility_rows.csv,negative_parity_blocks,equal_positive_and_negative_even_odd_ranks,negative_orientation_requires_source_parity_on_both_signs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_negative_parity_blocks_supplied
orientation_square_roots,orientation_line,positive_and_negative_orientation_square_roots,negative_root_compatibility_rows.csv,orientation_square_roots,o_gamma_and_o_minus_gamma_square_to_determinants,negative_root_compatibility_is_a_statement_about_orientation_lines,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_orientation_square_root_rows_supplied
serre_sign_line,serre_duality,CY3_Serre_sign_line,negative_root_compatibility_rows.csv,serre_sign_line,epsilon_CY3_gamma_supplied_and_transition_compatible,determinant_duality_has_a_CY3_sign_line_not_a_scalar_guess,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_Serre_sign_line_row_supplied
determinant_duality_square,orientation_line,determinant_duality_square,negative_root_compatibility_rows.csv,determinant_duality_square,orientation_square_roots_commute_with_dual_determinant_identity,orientation_compatibility_must_lift_determinant_duality_to_Picard_groupoid,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_determinant_duality_square_row_supplied
quotient_orientation_transport,orientation,quotient_orientation_transport_under_duality,negative_root_compatibility_rows.csv,quotient_orientation_transport,quotient_nulltrivialisations_preserved_by_duality,O1_descent_data_must_transport_to_negative_roots,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_quotient_orientation_transport_row_supplied
orientation_transition_transport,transition,Picard_groupoid_transition_under_duality,negative_root_compatibility_rows.csv,orientation_transition,strict_transition_and_R1lim_zero_for_duality_transport,pro_object_negative_root_compatibility_requires_transition_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,no_orientation_transition_row_supplied
row334_chevalley_antiinvolution,orientation,row_334_Chevalley_antiinvolution,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_334,construct_Chevalley_antiinvolution_on_orientation_data,row333_does_not_construct_the_antiinvolution,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,row334_kept_separate
row335_frobenius_pairing,orientation,row_335_Frobenius_pairing,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_335,prove_orientation_pairing_is_Frobenius,row333_requires_pairing_data_but_does_not_prove_Frobenius_cyclicity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,row335_kept_separate
row336_trace_degree,orientation,row_336_Frobenius_trace_degree,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_336,prove_Frobenius_trace_has_degree_minus_3,row333_does_not_compute_trace_degree,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,row336_kept_separate
row337_serre_signs,orientation,row_337_CY3_Serre_signs,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_337,prove_signs_agree_with_CY3_Serre_duality,row333_names_the_Serre_sign_line_but_does_not_compute_it,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,row337_kept_separate
