obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,degree_map_status,proof_reference,check_status,notes
retained_hn_domain,domain,retained HN numerical class domain,domain_classes.csv,domain_class_row,class id R id HN type and moduli component,b_R^geom is a map on retained finite-stage HN classes not on informal objects,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:1,verified,no retained HN domain rows supplied
one_cycle_class,cycle_class,one-dimensional cycle class,cycle_class_rows.csv,cycle_class_row,cyc_1(gamma) in N_1(K3xE),the pushforward degree cannot be formed without a one-cycle class,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:geometric-elliptic-degree-map,verified,no cycle class rows supplied
class_constancy,cycle_class,constancy on retained moduli component,cycle_class_rows.csv,constancy_row,cycle_constancy_defect_rank=0 for every retained component,the degree map must be constant on the numerical class represented by the stack,missing_open_obligation,certificates/moduli/k3e_finite_moduli/semistable_substacks.csv:1,verified,no constancy rows supplied
proper_pushforward,pushforward,pushforward to E,pushforward_rows.csv,pushforward_row,(p_E)_*cyc_1(gamma)=b[E],the map is defined by proper pushforward to N_1(E),missing_open_obligation,chapters/02_k3xe_setup.tex:2641,verified,no p_E pushforward rows supplied
integer_degree_extraction,pushforward,integer degree extraction,pushforward_rows.csv,degree_row,degree_value equals coefficient of [E] in N_1(E)=ZZ[E],b_R^geom must be an integer-valued map,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:geometric-elliptic-degree-map,verified,no degree extraction rows supplied
nonnegativity_effectivity,pushforward,effective nonnegativity,pushforward_rows.csv,nonnegative_row,nonnegativity_defect_rank=0 for effective retained one-cycle classes,the local/wrapped split uses Z_ge0 not an arbitrary integer,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:lem:wrapped-projection-obstruction,verified,no nonnegativity rows supplied
local_wrapped_partition,split,local/wrapped partition,local_wrapped_split.csv,split_row,local iff degree zero and wrapped iff degree positive,hybrid carrier uses the partition as input to local and wrapped strata,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:eq:hybrid-loc-wr-windows,verified,no split rows supplied
transition_compatibility,transition,transition compatibility,transition_rows.csv,transition_row,degree values compatible under R to Rprime retained HN inclusions,the pro-object needs compatible finite-stage degree maps,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,no transition rows supplied
no_borcherds_coordinate_substitution,firewall,Borcherds coordinate firewall,scalar_firewall.csv,borcherds_coordinate_substitution_excluded,b_R^geom is not pr_3 overlinePi_X,prevents the trace exponent m from being read as geometric E-degree,missing_open_obligation,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,row 203 has a separate separation packet
row202_additivity_separate,additivity,retained extension additivity,transition_rows.csv,additivity_row,b_R^geom(gamma+gamma')=b_R^geom(gamma)+b_R^geom(gamma') on retained extensions,this is correction row 202 and is not proved by the definition row,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_additivity/README.md:1,verified,row 202 has a separate criterion packet
