firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_translation_weight,translation_weight_claim,true,0,chapters/02_k3xe_setup.tex:def:determinant-anchor,verified,row 213 constructs the anchor but does not compute its translation weight
firewall_unit_weight,unit_weight_claim,true,0,chapters/02_k3xe_setup.tex:def:determinant-anchor,verified,row 213 does not pass to a finite cover or normalize to unit translation weight
firewall_chi_zero,chi_zero_repair,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1169,verified,row 215 handles chi equals zero degeneracy separately
firewall_extra_anchor,extra_anchor_data,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1170,verified,row 216 supplies extra anchor data separately
firewall_anchor_residual,anchor_residual,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1171,verified,row 217 defines the anchor residual separately
firewall_losslessness,anchor_losslessness,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,determinant anchor construction is not a losslessness theorem
firewall_quotient_descent,quotient_descent,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,determinant anchor construction is before quotient descent
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar Fock factor is not a determinant-of-cohomology line
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the Borcherds trace degree does not construct a Pic0 anchor
firewall_ordinary_ran,ordinary_Ran_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,ordinary Ran locality has no wrapped determinant anchor
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no determinant-anchor payload
