obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,moduli_status,proof_reference,check_status,notes
extension_stack,extension_flag,extension stack row,extension_flag_stacks.csv,extension_stack,extension_stack_id,Hall product domains require extension stacks,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:21,verified,no extension stack row supplied
two_step_flag_stack,extension_flag,two-step flag stack row,extension_flag_stacks.csv,two_step_flag_stack,two_step_flag_stack_id,Coproduct and associativity require two-step flag stacks,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:21,verified,no two-step flag row supplied
flag_properness,extension_flag,proper or closed flag row,extension_flag_stacks.csv,proper_status,proper_status=verified,Hall correspondences must be proper or closed on retained flags,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:21,verified,no flag properness row supplied
flag_finite_type,extension_flag,finite type flag row,extension_flag_stacks.csv,finite_type_status,finite_type_status=verified,Extension and flag stacks must be finite type,missing_open_obligation,compute/verify_moduli_fixture.py:153,verified,no flag finite-type row supplied
flag_quasi_smooth,extension_flag,quasi-smooth flag row,extension_flag_stacks.csv,quasi_smooth_status,quasi_smooth_status=verified,Flag stacks must carry the derived obstruction theory,missing_open_obligation,compute/verify_moduli_fixture.py:153,verified,no flag quasi-smooth row supplied
flag_subquotient_closure,extension_flag,subquotient closure row,extension_flag_stacks.csv,subquotient_closure,subquotient_closure_defect_rank=0,The retained class must be closed under subquotients,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:21,verified,no subquotient closure row supplied
flag_properness_defect,extension_flag,zero properness defect row,extension_flag_stacks.csv,properness_defect,properness_defect_rank=0,Properness or closedness must be defect-free,missing_open_obligation,compute/verify_moduli_fixture.py:153,verified,no properness defect row supplied
dcritical_chart,cosection_atlas,d-critical chart row,cosection_atlas.csv,dcritical_chart,dcritical_chart_id,The reduced orientation theory requires d-critical charts,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:23,verified,no d-critical chart row supplied
semiregularity_cosection,cosection_atlas,K3 semiregularity cosection row,cosection_atlas.csv,semiregularity_cosection,cosection_id,The K3 semiregularity cosection must be constructed on retained strata,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1329,verified,no cosection row supplied
vanishing_cycle,cosection_atlas,vanishing cycle row,cosection_atlas.csv,vanishing_cycle,vanishing_cycle_id,The Hall and orientation packages require reduced vanishing cycles,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:23,verified,no vanishing cycle row supplied
orientation_line,cosection_atlas,orientation line row,cosection_atlas.csv,orientation_line,orientation_line_id,The d-critical atlas must carry orientation lines,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:23,verified,no orientation line row supplied
cosection_surjectivity,cosection_atlas,cosection surjectivity row,cosection_atlas.csv,cosection_surjectivity,cosection_surjectivity_defect_rank=0,Cosection localization requires surjectivity on retained strata,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1330,verified,no cosection surjectivity row supplied
dcritical_compatibility,cosection_atlas,d-critical compatibility row,cosection_atlas.csv,dcritical_compatibility,dcritical_compatibility_defect_rank=0,Cosection charts must be compatible on overlaps,missing_open_obligation,compute/verify_moduli_fixture.py:168,verified,no d-critical compatibility row supplied
orientation_defect,cosection_atlas,zero orientation defect row,cosection_atlas.csv,orientation_defect,orientation_defect_rank=0,Orientation lines must descend with zero defect,missing_open_obligation,compute/verify_moduli_fixture.py:168,verified,no orientation defect row supplied
transition_morphism,transition,finite moduli transition morphism,transitions.csv,transition_morphism,transition_morphism_id,The HN inverse system requires transition morphisms,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1093,verified,no transition morphism row supplied
transition_proper_or_closed,transition,proper or closed transition row,transitions.csv,proper_or_closed,proper_or_closed_status=verified,Finite moduli transitions must be proper or closed,missing_open_obligation,certificates/moduli/finite_moduli_transition_geometry/README.md:1,verified,no proper-or-closed transition row supplied; see finite_moduli_transition_geometry obstruction packet
transition_strict,transition,strict transition row,transitions.csv,strict_transition,strict_status=verified,Stage transitions must commute strictly with retained data,missing_open_obligation,compute/verify_moduli_fixture.py:184,verified,no strict transition row supplied
transition_mittag_leffler,transition,mittag-leffler row,transitions.csv,mittag_leffler,ml_status=ml_verified,The inverse system requires Mittag-Leffler exactness,missing_open_obligation,certificates/moduli/moduli_cohomology_lim1_vanishing/README.md:1,verified,no ML transition row supplied; see moduli_cohomology_lim1_vanishing obstruction packet for cohomology image stabilization
transition_composition,transition,zero composition defect row,transitions.csv,composition_defect,composition_defect_rank=0,Transition morphisms must compose with zero defect,missing_open_obligation,compute/verify_moduli_fixture.py:184,verified,no composition defect row supplied
transition_r1lim,transition,R1lim transition row,transitions.csv,r1lim_zero,r1lim_rank=0,The pro-moduli packet requires vanishing R1lim,missing_open_obligation,certificates/moduli/moduli_cohomology_lim1_vanishing/README.md:1,verified,no R1lim row supplied; row 195 is isolated in the moduli_cohomology_lim1_vanishing obstruction packet
firewall_formal_charge_window,scalar_firewall,formal charge-window exclusion,scalar_firewall.csv,formal_charge_window,excluded_from_moduli=true,A formal charge window is not a finite moduli stack,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:3103,verified,no charge-window firewall row supplied
firewall_hilbert_scheme_scalar,scalar_firewall,Hilbert-scheme scalar exclusion,scalar_firewall.csv,hilbert_scheme_scalar,excluded_from_moduli=true,A Hilbert-scheme scalar test does not construct finite moduli,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:26,verified,no Hilbert-scheme firewall row supplied
firewall_liu_stability_only,scalar_firewall,Liu-stability-only exclusion,scalar_firewall.csv,liu_stability_only,excluded_from_moduli=true,Liu stability alone is not finite-type bounded moduli data,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:26,verified,no Liu-only firewall row supplied
firewall_pfaffian_product,scalar_firewall,Pfaffian product exclusion,scalar_firewall.csv,pfaffian_product,excluded_from_moduli=true,A Pfaffian product does not construct moduli stacks,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:26,verified,no Pfaffian firewall row supplied
firewall_target_window,scalar_firewall,target window exclusion,scalar_firewall.csv,target_window,excluded_from_moduli=true,A target BKM window is not a source moduli construction,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:26,verified,no target-window firewall row supplied
