obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,radical_transition_status,proof_reference,check_status,notes
primitive_transition_input,primitive_transition,primitive-subspace transition input,radical_transition_matrices.csv,primitive_transition,imports restricted primitive transition matrices,radical preservation is a statement on primitive subspaces after row 191,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/README.md:1,verified,no primitive transition input row supplied
source_pairing_matrix,hopf_pairing,source Hopf pairing matrix,pairing_transition.csv,source_pairing_matrix,finite positive-negative Hopf pairing matrix in source primitive bases,the source radical is the kernel of the source pairing,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:18,verified,no source G matrix supplied
target_pairing_matrix,hopf_pairing,target Hopf pairing matrix,pairing_transition.csv,target_pairing_matrix,finite positive-negative Hopf pairing matrix in target primitive bases,the target radical is the kernel of the target pairing,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:18,verified,no target G matrix supplied
source_hopf_pairing_identities,hopf_pairing,source Hopf-pairing identity rows,pairing_transition.csv,source_hopf_identities,Hopf adjointness Frobenius cyclicity and quotient nondegeneracy at source stage,the preserved subspace must be the Hopf radical not only a kernel of an arbitrary matrix,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:19,verified,no source Hopf-pairing identity rows supplied
target_hopf_pairing_identities,hopf_pairing,target Hopf-pairing identity rows,pairing_transition.csv,target_hopf_identities,Hopf adjointness Frobenius cyclicity and quotient nondegeneracy at target stage,the target radical quotient must carry the Hopf pairing used by recognition,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:19,verified,no target Hopf-pairing identity rows supplied
source_radical_kernel,radical,source radical kernel row,radical_kernel_rows.csv,source_radical_kernel,basis and rank for the source Hopf-pairing radical,the transition cannot be restricted before the source radical is computed,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:22,verified,no source radical kernel row supplied
target_radical_kernel,radical,target radical kernel row,radical_kernel_rows.csv,target_radical_kernel,basis and rank for the target Hopf-pairing radical,the image condition must land in an explicit target radical subspace,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:22,verified,no target radical kernel row supplied
opposite_primitive_lift,transition,opposite primitive lift or surjectivity row,pairing_transition.csv,opposite_lift,right inverse from target opposite primitive block to source opposite primitive block,pairing compatibility must test against all target opposite primitives not only the image of transition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-radical-preservation,verified,no opposite primitive lift row supplied
pairing_transition_identity,transition,pairing transition identity,pairing_transition.csv,pairing_intertwining,identity pairing_target of Tx against yprime equals pairing_source of x against L yprime,linear algebra proves radical preservation only after this identity is supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-radical-preservation,verified,no pairing transition identity supplied
radical_image_identity,transition,radical image identity,transition_defects.csv,radical_image_defect_zero,target pairing matrix kills the transitioned source radical basis,this is the finite matrix statement T(Rad source) lies in Rad target,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-radical-preservation,verified,no radical image row supplied
radical_restricted_transition_matrix,transition,restricted radical transition matrix,radical_transition_matrices.csv,restricted_radical_transition,target radical coordinates for transition restricted to the source radical basis,radical preservation is a map of radical subspaces not only a pairing identity,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-radical-preservation,verified,no restricted radical transition row supplied
source_quotient_splitting,quotient,source radical quotient splitting,quotient_transition_matrices.csv,source_quotient_splitting,finite source quotient basis and splitting after dividing by the radical,quotient transition matrices are not defined before the source quotient is split,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:23,verified,no source quotient splitting supplied
target_quotient_splitting,quotient,target radical quotient splitting,quotient_transition_matrices.csv,target_quotient_splitting,finite target quotient basis and splitting after dividing by the radical,the descended transition needs target quotient coordinates,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:23,verified,no target quotient splitting supplied
quotient_descended_transition_matrix,quotient,descended quotient transition matrix,quotient_transition_matrices.csv,descended_quotient_transition,well-defined transition matrix on P modulo Rad,the radical quotient cannot form a transition system until the quotient map is supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-radical-preservation,verified,no quotient transition matrix supplied
radical_transition_composition,defect,radical transition composition law,transition_defects.csv,composition_defect_zero,successive radical and quotient transitions compose with zero defect,the radical quotient must form a functorial inverse system before later PBW and limit arguments,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:transition-radical-preservation,verified,no radical transition composition row supplied
no_scalar_radical_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_radical_substitution_excluded,excludes scalar traces denominator products signed multiplicities target radicals pairing matrices alone rank equalities and primitive transitions alone,prevents scalar or target data from being read as compact source radical transition preservation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-radical-preservation,verified,firewall rows supplied but radical transition data absent
