relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
finite_object_set,row_count,7,7,0,finite retained-window HN filtration packet,verified,seven retained objects including zero are supplied
finite_phase_set,row_count,3,3,0,finite retained-window HN filtration packet,verified,three semistable phases occur
semistable_factor_rows,row_count,3,3,0,finite retained-window HN filtration packet,verified,three semistable factor objects are supplied
exact_quotient_steps,row_count,10,10,0,finite retained-window HN filtration packet,verified,ten exact quotient steps are supplied
all_objects_hn_filtration,row_count,7,7,0,finite retained-window HN filtration packet,verified,every retained object has a summary row
all_nonzero_objects_hn_filtration,row_count,6,6,0,finite retained-window HN filtration packet,verified,every nonzero retained object has an HN filtration
strict_phase_descent,row_count,6,6,0,finite retained-window HN filtration packet,verified,all nonzero HN phase sequences strictly descend
length_additivity,row_count,10,10,0,finite retained-window HN filtration packet,verified,length adds across every exact quotient step
retained_window_hn_filtration,formal_identity,1,1,0,finite retained-window HN filtration packet,verified,HN filtrations exist inside the retained finite window
global_hn_not_proved,firewall,1,1,0,finite retained-window HN filtration packet,verified,global AP/Liu HN filtrations are not proved here
bounded_hn_types_not_proved,firewall,1,1,0,finite retained-window HN filtration packet,verified,bounded HN types are later obligations
finite_moduli_not_proved,firewall,1,1,0,finite retained-window HN filtration packet,verified,finite moduli are later obligations
