obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,mixed_status,proof_reference,check_status,notes
extension_stack_rows,mixed_extension,actual mixed extension stack rows,extension_stack_rows.csv,extension_stack_row,E_LW and E_WL flag stacks for each retained local/wrapped colour pair,row 208 defines the type but does not populate finite extension stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:mixed-local-wrapped-correspondence-datum,verified,no extension stack rows supplied
source_target_map_rows,mixed_maps,source and target maps for mixed diagrams,source_target_map_rows.csv,map_row,p and q maps to local/wrapped source carriers and wrapped target carrier,the definition states the formulas but map rows remain unpopulated,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:mixed-local-wrapped-correspondence-datum,verified,no source-target map rows supplied
target_wrapped_colour_rows,degree_map,target wrapped colour verification,extension_stack_rows.csv,target_colour_row,zeta equals local total plus wrapped colour and lies in Gamma_R_wr,this uses b_R^geom additivity rows not supplied in this packet,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_additivity/README.md:1,verified,no target colour rows supplied
anchor_memory_rows,anchor_memory,source and target anchors before quotient,anchor_memory_rows.csv,anchor_memory_row,source wrapped anchor target wrapped anchor and relative anchor retained before quotient,row 212 defines the common before-quotient anchor-memory type and populated mixed rows remain absent,missing_open_obligation,certificates/hybrid/source_target_anchor_memory_definition/definition_rows.csv:1,verified,no populated mixed anchor memory rows supplied
admissibility_rows,admissibility,exceptional pushforward admissibility for mixed stacks,admissibility_rows.csv,admissibility_row,compact-support exceptional pushforward model and admissibility defect zero,row 222 asks for admissibility of mixed extension stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no admissibility rows supplied
base_change_rows,base_change,base-change for mixed correspondences,base_change_rows.csv,base_change_row,Cartesian squares and base-change defect zero,row 225 asks for base-change for mixed correspondences,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1189,verified,no base-change rows supplied
projection_formula_rows,projection_formula,projection formula for mixed correspondences,projection_formula_rows.csv,projection_formula_row,coefficient objects and projection-formula defect zero,row 226 asks for projection formula for mixed correspondences,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1190,verified,no projection-formula rows supplied
thom_sebastiani_rows,thom_sebastiani,Thom-Sebastiani transport for mixed correspondences,thom_sebastiani_rows.csv,ts_row,vanishing-cycle source and target identifications with TS defect zero,row 227 asks for Thom-Sebastiani transport for mixed correspondences,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1191,verified,no Thom-Sebastiani rows supplied
transition_rows,transition,finite-stage mixed correspondence transitions,transition_rows.csv,transition_row,R to Rprime maps compatible with colours maps and anchors,the pro-correspondence category needs compatible mixed arrows,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,no transition rows supplied
local_local_separate,local_local,local-local correspondence definition,extension_stack_rows.csv,local_local_row,LL extension stack definition for two local inputs,row 210 is separate from row 208,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1164,verified,no local-local rows supplied
wrapped_wrapped_separate,wrapped_wrapped,wrapped-wrapped correspondence definition,extension_stack_rows.csv,wrapped_wrapped_row,WW extension stack definition for two wrapped inputs,row 209 is separate from row 208,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1163,verified,no wrapped-wrapped rows supplied
two_sided_mixed_separate,two_sided_mixed,ordered two-sided mixed correspondence definition,extension_stack_rows.csv,two_sided_mixed_row,local inputs on both sides of one wrapped input,row 211 is separate from row 208,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1165,verified,no two-sided mixed rows supplied
