firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_mixed_definition,mixed_definition_only,true,0,certificates/hybrid/mixed_local_wrapped_correspondence_definition/README.md:1,verified,the definition packet does not prove target admissibility
firewall_local_local,local_local_properness_only,true,0,certificates/hybrid/local_local_extension_properness/README.md:1,verified,local-local target properness is not mixed target admissibility
firewall_wrapped_ft,wrapped_prequotient_finite_type_only,true,0,certificates/hybrid/wrapped_prequotient_finite_type/README.md:1,verified,finite type of wrapped prequotients does not prove mixed q properness by itself
firewall_extension_closure,extension_closure_only,true,0,certificates/moduli/retained_extension_closure/README.md:1,verified,extension closure does not construct the mixed relative Quot locus
firewall_closed_substacks,retained_closed_substacks_only,true,0,certificates/moduli/retained_closed_substacks/README.md:1,verified,closed retained endpoint rows do not by themselves prove q properness
firewall_source_properness,source_map_properness,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:mixed-local-wrapped-target-admissibility,verified,the source maps are not proper in general
firewall_compact_support,compact_support_model,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:mixed-local-wrapped-target-admissibility,verified,the compact-support exceptional pushforward model remains a later row
firewall_base_change,base_change,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1189,verified,target properness is not base change
firewall_projection_formula,projection_formula,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1190,verified,target properness is not the projection formula
firewall_ts,thom_sebastiani,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1191,verified,target properness is not Thom-Sebastiani transport
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:cor:no-quotient-first-hybrid-repair,verified,mixed admissibility is checked before the E quotient
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar trace is not a mixed extension stack
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no populated mixed correspondence rows
