obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,transition_status,proof_reference,check_status,notes
row311_cochain_vectors,cochain,chosen_b_R_and_b_Rprime,cochain_witness_rows.csv,cochain_vector_id,b_R_and_b_Rprime_coordinates,row_312_compares_chosen_cochains_and_has_no_input_without_them,missing_open_obligation,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/blocked_obligations.csv,verified,row_311_vectors_absent
row311_coboundary_defects,cochain,row311_defect_zero_rows,cochain_defect_rows.csv,coboundary_defect_rank,d1_b_R_equals_v_c_o_R_at_each_stage,transition_compatibility_only_applies_to_valid_killing_cochains,missing_open_obligation,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/cochain_defect_rows.csv,verified,row_311_defects_absent
transition_orientation_input,transition,underlying_orientation_transition,orientation_transition_maps.csv,transition_id,finite_stage_transition_and_orientation_pullback,row_312_needs_the_same_transition_as_orientation_transport,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_geometry_and_orientation_maps_absent
cochain_map_rows,cochain_transition,transition_cochain_maps,transition_cochain_map_rows.csv,rho1_rho2_matrix_ids,matrices_rho1_and_rho2_on_retained_cochain_bases,compatibility_requires_actual_pullback_maps_on_C1_and_C2,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,no_rho_rows_supplied
chain_map_defect,cochain_transition,chain_map_defect_zero,transition_cochain_map_rows.csv,chain_map_defect_rank,d1_R_rho1_minus_rho2_d1_Rprime_has_rank_zero,rho_must_be_a_cochain_map,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,no_chain_map_defect_row_supplied
cocycle_pullback_defect,cocycle_transition,cocycle_pullback_defect_zero,transition_cochain_map_rows.csv,cocycle_pullback_defect_rank,rho2_v_c_Rprime_minus_v_c_R_has_rank_zero,target_cocycle_must_pull_back_to_source_cocycle,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,no_cocycle_pullback_row_supplied
b_transition_defect,cochain_transition,b_transition_defect_zero,cochain_transition_defect_rows.csv,b_transition_defect_rank,b_R_minus_rho1_b_Rprime_has_rank_zero,this_is_the_row_312_compatibility_equation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,no_b_transition_defect_row_supplied
gauge_compatibility,cochain_transition,gauge_compatible_choices,cochain_transition_defect_rows.csv,gauge_compatibility_id,same_gauge_or_recorded_comparison_cocycle,otherwise_two_valid_b_choices_can_differ_by_H1,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,no_gauge_compatibility_row_supplied
two_step_coherence,cochain_transition,two_step_transition_coherence,cochain_transition_defect_rows.csv,two_step_coherence_defect_rank,rho_RRpp_equals_rho_RRp_rho_RpRpp_for_i_1_2,inverse_system_needs_functorial_transition_maps,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,no_two_step_coherence_row_supplied
transition_orientation_ledger_row,orientation_ledger,coxeter_cochain_transition_row,multiplicative_weyl_transport.csv,coxeter_cochain_transition,cochain_killing_projective_cocycle_pulls_back_compatibly,broad_transition_ledger_records_the_same_missing_row,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,coxeter_cochain_transition_missing
torsor_defects_later,weyl_torsor,omega_iC_rows,cochain_transition_defect_rows.csv,torsor_defect,omega_iC_computation_and_vanishing,rows_313_314_compute_torsor_defects_after_transition_compatibility,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1484,verified,rows_313_314_left_separate
no_transition_geometry_only_substitution,firewall,transition_geometry_firewall,scalar_firewall.csv,transition_geometry_only_excluded,stack_transition_morphisms_do_not_supply_cochain_maps_or_defects,prevents_moduli_geometry_from_replacing_cochain_transition_data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,firewall_records_exclusion
no_row311_only_substitution,firewall,row311_only_firewall,scalar_firewall.csv,row311_only_excluded,local_b_R_choices_do_not_prove_transition_compatibility,prevents_row_311_from_being_read_as_row_312,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,firewall_records_exclusion
no_maass_character_substitution,firewall,Maass_character_firewall,scalar_firewall.csv,maass_character_excluded,Maass_character_is_scalar_multiplier_not_cochain_transition,prevents_scalar_multiplier_from_proving_transition_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-transition-compatibility,verified,firewall_records_exclusion
