obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
pro_picard_comparison_functor,pro_picard,pro_Picard_comparison_functor,no_new_class_rows.csv,pro_picard_comparison,Xi_from_Pic_or_infty_to_lim_R_Pic_or_R,without_the_comparison_functor_no_new_limit_class_has_no_target,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_pro_Picard_comparison_row_supplied
finite_effectivity_rows,effectivity,finite_stage_effectivity_rows,no_new_class_rows.csv,finite_effectivity,every_pro_orientation_restricts_to_recorded_finite_orientation_data,excludes_formal_limit_classes_not_realized_at_finite_stages,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_finite_effectivity_rows_supplied
separatedness_rows,separatedness,pro_Picard_separatedness_rows,no_new_class_rows.csv,separatedness,pro_orientation_class_with_trivial_finite_restrictions_is_trivial,this_is_the_no_phantom_class_kernel_statement,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_separatedness_rows_supplied
automorphism_ml_rows,ml_exactness,automorphism_Mittag_Leffler_rows,no_new_class_rows.csv,automorphism_ml,R1lim_pi1_Pic_or_R_equals_zero,Picard_groupoid_comparison_has_automorphism_derived_limit_obstruction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_automorphism_ML_rows_supplied
object_class_ml_rows,ml_exactness,object_class_Mittag_Leffler_rows,no_new_class_rows.csv,object_class_ml,R1lim_for_orientation_class_tower_equals_zero,object_class_exactness_is_needed_to_compare_pi0_of_limit_groupoids,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_object_class_ML_rows_supplied
zero_defect_pi0_comparison,comparison,zero_defect_pi0_comparison,no_new_class_rows.csv,pi0_comparison,pi0_Pic_or_infty_isomorphic_to_lim_pi0_Pic_or_R,proves_no_extra_pi0_classes_at_the_limit,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_pi0_comparison_row_supplied
pro_orientation_class_table,limit,pro_orientation_class_table,no_new_class_rows.csv,pro_orientation_class,table_of_all_pro_orientation_classes_and_finite_restrictions,no_new_class_claim_quantifies_over_all_limit_classes,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_pro_orientation_class_table_supplied
finite_orientation_line_rows,orientation_line,finite_orientation_line_rows,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,orientation_line,o_R_square_root_rows_for_each_retained_stage,finite_orientation_data_are_inputs_to_the_comparison,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_orientation_line_rows_supplied
picard_transition_rows,picard_groupoid,Picard_transition_rows,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,pullback_isomorphism,theta_o_RRprime_and_determinant_square_rows,comparison_uses_the_finite_transition_system,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_Picard_transition_rows_supplied
strict_orientation_ml_rows,transition,strict_orientation_ML_rows,certificates/orientation/transition_orientation_preservation/transition_defects.csv,orientation_ml,strict_composition_and_R1lim_zero_rows_for_orientation_data,transition_obstruction_ledger_is_not_ML_exactness,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,no_transition_defect_or_ML_rows_supplied
row339_survival_not_no_new,orientation,row_339_survival,certificates/orientation/rhomred_orientation_class_limit_survival/manifest.json,row339,survival_of_prescribed_compatible_finite_classes,survival_does_not_exclude_extra_limit_classes,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,row339_kept_separate
scalar_firewall,firewall,scalar_or_target_firewall,scalar_firewall.csv,firewall,exclude_scalar_trace_Pfaffian_target_window_and_square_root_obstruction_substitutes,prevents_scalar_shadows_from_being_read_as_no_phantom_pro_Picard_exactness,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,firewall_rows_supplied_but_no_pro_Picard_rows
