obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_status_payload,why_required,d0_status,proof_reference,check_status,notes
flat_degen_family,degeneration,flat one-parameter D0-degeneration family,degeneration_families.csv,flat_family,flatness_defect_rank=0 with hn_height and base_id,D0 requires an actual degeneration family not a scalar specialization,missing_open_obligation,appendices/G_obstruction_discharges.tex:174,verified,no degeneration family row supplied
contains_d0_sector,degeneration,D0 special fibre containment,degeneration_families.csv,d0_special_fiber,contains_d0_sector=true,The special fibre must contain the retained zero-dimensional threefold sector,missing_open_obligation,appendices/G_obstruction_discharges.tex:174,verified,no D0 special-fibre row supplied
substack_object,retained_substacks,retained object substack,retained_substacks.csv,object,finite_type_status=verified and compatibility_defect_rank=0,D0-HN datum requires finite-type object substacks over the degeneration,missing_open_obligation,appendices/G_obstruction_discharges.tex:176,verified,no object substack row supplied
substack_extension,retained_substacks,retained extension substack,retained_substacks.csv,extension,finite_type_status=verified and compatibility_defect_rank=0,Hall product specialization requires extension substacks over the degeneration,missing_open_obligation,appendices/G_obstruction_discharges.tex:176,verified,no extension substack row supplied
substack_mixed,retained_substacks,retained mixed substack,retained_substacks.csv,mixed,finite_type_status=verified and compatibility_defect_rank=0,Mixed strata carry boundary and overlap terms in D0 specialization,missing_open_obligation,appendices/G_obstruction_discharges.tex:176,verified,no mixed substack row supplied
substack_wrapped,retained_substacks,retained wrapped substack,retained_substacks.csv,wrapped,finite_type_status=verified and compatibility_defect_rank=0,Wrapped charts enter the compact Hall and wall atlas interfaces,missing_open_obligation,appendices/G_obstruction_discharges.tex:176,verified,no wrapped substack row supplied
substack_two_step_flag,retained_substacks,retained two-step flag substack,retained_substacks.csv,two_step_flag,finite_type_status=verified and compatibility_defect_rank=0,Associativity and Thom-Sebastiani compatibility require two-step flag substacks,missing_open_obligation,appendices/G_obstruction_discharges.tex:176,verified,no two-step flag row supplied
hn_transition_proper_closed,hn_transition,proper or closed HN transition,hn_transitions.csv,proper_or_closed,proper_or_closed_status=verified,HN inverse system requires transition morphisms with proper or closed control,missing_open_obligation,appendices/G_obstruction_discharges.tex:178,verified,no proper or closed transition row supplied
hn_transition_d0_fiber,hn_transition,D0-fibre preserving transition,hn_transitions.csv,preserves_d0_fiber,preserves_d0_fiber=true,Transitions must preserve the D0 special fibre,missing_open_obligation,appendices/G_obstruction_discharges.tex:178,verified,no D0-preserving transition row supplied
hn_transition_composition,hn_transition,HN transition composition law,hn_transitions.csv,composition_law,composition_defect_rank=0,The inverse system is not functorial without transition composition,missing_open_obligation,appendices/G_obstruction_discharges.tex:178,verified,no composition row supplied
derived_quasi_smooth,derived_enhancement,quasi-smooth derived enhancement,derived_enhancements.csv,quasi_smooth,quasi_smooth_status=verified and obstruction_defect_rank=0,D0 requires derived charts carrying perfect obstruction theories,missing_open_obligation,appendices/G_obstruction_discharges.tex:186,verified,no quasi-smooth row supplied
derived_shifted_symplectic,derived_enhancement,PTVV shifted symplectic form,derived_enhancements.csv,shifted_symplectic,shifted_symplectic_id and obstruction_defect_rank=0,Cosection-reduced d-critical structure starts from the shifted symplectic chart,missing_open_obligation,appendices/G_obstruction_discharges.tex:186,verified,no shifted symplectic row supplied
derived_dcritical,derived_enhancement,d-critical truncation,derived_enhancements.csv,dcritical_truncation,dcritical_truncation_id and obstruction_defect_rank=0,Vanishing cycles require a d-critical truncation,missing_open_obligation,appendices/G_obstruction_discharges.tex:186,verified,no d-critical row supplied
derived_perfect_obstruction,derived_enhancement,perfect obstruction theory,derived_enhancements.csv,perfect_obstruction_theory,perfect_obstruction_theory_id and obstruction_defect_rank=0,Cosection localization requires a perfect obstruction theory,missing_open_obligation,appendices/G_obstruction_discharges.tex:186,verified,no perfect obstruction row supplied
cosection_surjective,semiregularity,K3 semiregularity cosection surjectivity,semiregularity_cosections.csv,surjectivity,surjectivity_cokernel_rank=0,Reduced obstruction theory requires a surjective cosection on retained strata,missing_open_obligation,appendices/G_obstruction_discharges.tex:190,verified,no cosection surjectivity row supplied
cosection_d0_compatible,semiregularity,D0-compatible cosection,semiregularity_cosections.csv,d0_compatibility,d0_compatibility_defect_rank=0,The cosection must commute with the D0 special fibre,missing_open_obligation,appendices/G_obstruction_discharges.tex:190,verified,no D0 compatibility row supplied
cosection_extension_additive,semiregularity,extension-additive cosection,semiregularity_cosections.csv,extension_additivity,extension_additivity_defect_rank=0,Hall extension correspondences require q*CS=p1*CS+p2*CS,missing_open_obligation,appendices/G_obstruction_discharges.tex:198,verified,no additivity row supplied
vc_specialization,vanishing_cycles,reduced vanishing-cycle specialization,vanishing_cycles.csv,specialization_cone,specialization_cone_rank=0,D0 pro-limit requires vanishing cycles to specialize from generic to special fibre,missing_open_obligation,appendices/G_obstruction_discharges.tex:204,verified,no vanishing-cycle specialization row supplied
vc_transition,vanishing_cycles,vanishing-cycle transition compatibility,vanishing_cycles.csv,transition_defect,transition_defect_rank=0,Vanishing cycles must commute with HN transition maps,missing_open_obligation,certificates/vanishing_cycles/transition_vanishing_cycle_preservation/README.md:1,verified,no vanishing-cycle transition row supplied; see transition_vanishing_cycle_preservation obstruction packet
orientation_square_root_specialization,orientation,orientation square-root specialization,orientation_specializations.csv,square_root,square_defect_rank=0,Joyce-Upmeier orientation lines must specialize across D0,missing_open_obligation,appendices/G_obstruction_discharges.tex:208,verified,no orientation square-root specialization row supplied
orientation_ts_specialization,orientation,orientation Thom-Sebastiani specialization,orientation_specializations.csv,ts_multiplicativity,ts_defect_rank=0,Hall extensions require orientation TS multiplicativity after D0 specialization,missing_open_obligation,appendices/G_obstruction_discharges.tex:208,verified,no orientation TS row supplied
