obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_G_entries,hopf_pairing,source positive-negative pairing matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,finite constants G_gamma_p_ab in primitive bases,row361 evaluates pairings against bracket outputs,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_G_entries_supplied
source_primitive_bracket_rows,primitive_bracket,source primitive bracket matrix,certificates/sources/k3e_compact_hall/B_entries.csv,bracket_entry,finite bracket constants B_alpha_beta_gamma in primitive bases,row361 is an identity involving the Hall bracket,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_B_entries_supplied
source_parity_blocks,parity,source parity block table,certificates/sources/k3e_compact_hall/parity_blocks.csv,parity_block,even_odd labels for primitive bases,the sign conversion uses source parities,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_source_parity_blocks_supplied
frobenius_defect_rows,hopf_pairing,Frobenius cyclic defect rows,invariance_rows.csv,frobenius_defect_row,zero defect for o_Frob_R on every retained triple,the finite proof assumes these rows vanish,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_current_Frobenius_rows
cyclic_correspondence_rows,geometry,cyclic three-point pairing correspondences,cyclic_pairing_correspondence_rows.csv,cyclic_correspondence,three-charge compact correspondence with cyclic permutation isomorphisms,the geometric Frobenius rows must come from source correspondences,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_cyclic_correspondence_rows_supplied
serre_sign_rows,orientation,reduced CY3 Serre sign rows,certificates/orientation/rhomred_orientation_cy3_serre_signs/serre_sign_rows.csv,serre_sign_row,source determinant and Koszul sign exponent for cyclicity,the cyclic identity has a source Serre sign,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_Serre_sign_rows_supplied
orientation_transport,orientation,orientation transport rows,pairing_orientation_rows.csv,orientation_transport,reduced Thom-Sebastiani and orientation transport for triple pairings,Frobenius cyclicity must be transported through source orientations,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_orientation_transport_rows_supplied
super_skew_rows,primitive_bracket,super-skew bracket rows,bracket_skew_rows.csv,super_skew_row,B_yx_plus_sign_B_xy_zero,the proof uses graded skew-symmetry of the supplied Hall bracket,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,no_source_super_skew_rows_supplied
formal_pairing_firewall,firewall,formal pairing firewall,scalar_firewall.csv,source_pairing_separation,formal degree-zero pairing rows are not compact source Frobenius rows,the imported formal packet cannot prove source invariance,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,formal_pairing_not_source_invariance
target_invariant_pairing_firewall,firewall,target invariant-pairing firewall,scalar_firewall.csv,target_source_separation,target invariant form cannot replace source Hall pairing identity rows,the target BKM invariant form is not the compact Hall trace pairing,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,target_invariance_excluded
row362_firewall,firewall,later coproduct identity firewall,scalar_firewall.csv,later_identity_separation,coproduct adjointness is not Frobenius invariance,row361 must not absorb row362,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,row362_kept_separate
source_vs_target_firewall,firewall,source-target firewall,scalar_firewall.csv,source_target_separation,target BKM bracket and pairing cannot replace compact source rows,the target algebra is only a comparison codomain after source recognition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,target_shortcut_excluded
