relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
semistable_substacks_imported,input_coverage,3,3,0,retained semistable-substack packet,verified,three retained finite-type semistable substacks imported
scalar_residual_inertia_imported,input_coverage,3,3,0,retained rigidification-inertia packet,verified,three scalar-rigidification rows with finite residual inertia imported
e_translation_rigidifications_imported,input_coverage,3,3,0,retained E-translation-rigidification packet,verified,three E-translation rigidification rows imported
one_closed_substack_per_retained_substack,closed_substack_coverage,3,3,0,retained closed-substack packet,verified,one closed retained row per retained substack
closed_cover_rows_defined,closed_cover_coverage,3,3,0,retained closed-substack packet,verified,one finite closed cover per retained substack
one_stratum_per_closed_cover,stratification_coverage,3,3,0,retained closed-substack packet,verified,one closed stratum per retained closed cover
finite_residual_inertia_on_closed_rows,inertia_check,3,3,0,retained closed-substack packet,verified,finite residual inertia holds on each closed retained row
coverage_defects_zero,defect_check,3,3,0,retained closed-substack packet,verified,coverage defects vanish on each retained closed cover
inertia_defects_zero,defect_check,3,3,0,retained closed-substack packet,verified,inertia defects vanish on each retained closed row
stratifications_mirrored,finite_moduli_mirror,3,3,0,retained closed-substack packet,verified,stratification rows mirrored into finite-moduli packet
extension_closure_not_proved,limitation,0,0,0,retained closed-substack packet,verified,extension closure is supplied by the retained extension-closure packet and not by closed-substack rows
hn_factor_closure_not_proved,limitation,0,0,0,retained closed-substack packet,verified,HN-factor closure is supplied by the retained HN-factor-closure packet and not by closed-substack rows
dual_closure_not_proved,limitation,0,0,0,retained closed-substack packet,verified,dual closure is supplied by the retained dual-closure packet and not by closed-substack rows
finite_hall_stage_not_proved,limitation,0,0,0,retained closed-substack packet,verified,closed substacks do not construct the finite Hall stage
