obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,definition_status,proof_reference,check_status,notes
strict_weyl_action_rows,weyl_transport,strictified_Weyl_action,weyl_lifts.csv,strict_action_row,tau_words_after_cocycle_cochain_trivialization,epsilon_o_is_defined_from_source_side_strict_transport_not_target_group_alone,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,no_strict_Weyl_action_rows_supplied
cochain_transition_compatibility,coxeter_cochain,transition_compatible_b_R,cochain_transition_defect_rows.csv,zero_defect_row,rho1_b_Rprime_equals_b_R,finite_stage_characters_must_glue_under_R_to_Rprime,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_312_manifest_has_transition_compatibility_false
torsor_defect_vanishing,orientation_torsor,zero_torsor_defects,vanishing_rows.csv,zero_vector_row,omega_i_R_S_equals_zero,source_generator_signs_are_not_stable_before_torsor_defects_vanish,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_314_manifest_has_vanishing_false
alpha_red_preservation,component_preservation,alpha_red_preservation,preservation_rows.csv,zero_defect_row,Delta_red_i_R_S_equals_zero,orientation_character_requires_preservation_of_reduced_gerbe_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_315_manifest_has_preservation_false
alpha_e_free_preservation,component_preservation,alpha_E_free_preservation,preservation_rows.csv,zero_defect_row,Delta_E_i_R_S_equals_zero,orientation_character_requires_preservation_of_connected_free_E_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_316_manifest_has_preservation_false
beta_preservation,component_preservation,beta_H_preservation,preservation_rows.csv,zero_defect_row,Delta_beta_i_R_S_equals_zero,orientation_character_requires_preservation_of_finite_stabilizer_degree_two_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_317_manifest_has_preservation_false
lambda_zero_preservation,component_preservation,lambda_H_zero_preservation,preservation_rows.csv,zero_defect_row,Delta_lambda_i_R_S_equals_zero,orientation_character_requires_preservation_of_degree_one_linearization_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_318_manifest_has_preservation_false
generator_sign_rows,orientation_character,simple_reflection_generator_signs,generator_sign_rows.csv,sign_row,sigma_o_i_R_values,word_evaluation_needs_source_side_generator_signs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,no_generator_sign_rows_supplied
stratum_independence,orientation_character,component_independence_rows,generator_sign_rows.csv,independence_row,sigma_o_i_R_S_independent_of_S,character_must_be_a_group_homomorphism_not_a_stratum_dependent_function,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,no_stratum_independence_row_supplied
transition_compatibility,orientation_character,finite_stage_character_transition,character_rows.csv,transition_row,epsilon_o_R_restricts_to_epsilon_o_Rprime,pro_object_character_needs_compatible_finite_stage_characters,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,no_character_transition_row_supplied
inverse_limit_character,orientation_character,pro_character,character_rows.csv,inverse_limit_row,epsilon_o_equals_lim_R_epsilon_o_R,global_orientation_character_needs_strict_inverse_limit_data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,no_inverse_limit_character_row_supplied
row320_sign_computation,scope,next_sign_computation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_320,epsilon_o_s_delta_i_equals_minus_one,row_320_computes_values_after_row_319_definition,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,next_row_kept_separate
maass_comparison_separation,scope,later_maass_comparison,certificates/automorphic/delta5_maass_character/manifest.json,firewall_row,nu_Delta5_is_target_character_not_source_definition,row_322_compares_characters_after_epsilon_o_is_defined,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,maass_character_not_used_as_definition
