obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,dcritical_status,proof_reference,check_status,notes
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,needed_for_Hall_coefficients,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,dcritical_structure_alone_does_not_define_coefficient_system
k3_semiregularity_cosection,cosection,K3_semiregularity_cosection,cosection_rows.csv,cosection_row,cosection_from_K3_holomorphic_two_form,optimization_row_273,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1329,verified,cosection_not_part_of_dcritical_truncation
cosection_surjectivity,cosection,cosection_surjectivity,surjectivity_rows.csv,surjectivity_row,surjectivity_on_retained_strata,optimization_row_274,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1330,verified,surjectivity_not_part_of_dcritical_truncation
rhom_red,reduced_obstruction,RHomred_definition,rhom_red_rows.csv,rhom_red_row,reduced_self_Ext_complex_defined,optimization_row_275,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1331,verified,reduced_RHom_requires_cosection_kernel_data
perfect_reduced_obstruction,reduced_obstruction,perfect_reduced_obstruction,perfectness_rows.csv,perfectness_row,reduced_obstruction_complex_perfect,optimization_row_276,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1332,verified,perfect_reduced_obstruction_not_supplied
det_rhom_red,orientation,det_RHomred,determinant_rows.csv,determinant_line_row,determinant_line_of_reduced_self_Ext_complex,optimization_row_277,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1333,verified,determinant_line_not_supplied
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,square_root_of_determinant_line,optimization_row_278,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1334,verified,square_root_not_supplied
quotient_orientation,orientation,quotient_orientation_Cech_Borel_rows,quotient_borel.csv,quotient_orientation_row,quotient_orientation_descent_and_null_trivializations,needed_for_O1,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,O1_orientation_fixture_remains_blocked
transition_compatibility,transition,dcritical_transition_compatibility,dcritical_transition_rows.csv,transition_row,dcritical_chart_compatibility_under_R_to_Rprime,needed_for_pro_object_coherence,missing_open_obligation,certificates/vanishing_cycles/transition_vanishing_cycle_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
protected_integration,integration,protected_integration_rows,protected_integration.csv,integration_row,dcritical_coefficients_enter_protected_trace,needed_for_Pfaffian_identity,missing_open_obligation,certificates/hybrid/protected_integration_definition/blocked_obligations.csv,verified,no_protected_integration_claim
