firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_target_wall_labels_only,target_wall_labels_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,target wall labels alone are not hybrid operation rows
fw_borcherds_s_degree_only,borcherds_s_degree_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,m coordinate alone is not b_R_geom without the stated wall-branch routing
fw_compact_mukai_representatives,compact_mukai_representatives,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,compact Mukai representatives do not supply wrapped operation profiles
fw_local_LL_operation,local_LL_operation,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,all three type-II wall profiles are wrapped not LL-only
fw_quotient_first_product,quotient_first_product,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,mixed operation profiles are before E-quotient
fw_o2_wall_objects,o2_wall_objects,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,operation-profile recovery does not supply retained O2 wall objects
fw_e_quotient_losslessness,e_quotient_losslessness,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,row 269 quotient losslessness is not certified here
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,operation-profile recovery does not supply a scalar trace
fw_pfaffian_sign,pfaffian_sign,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,operation-profile recovery does not compute Pfaffian signs
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,operation-profile recovery does not supply protected integration
fw_populated_hybrid_carrier,populated_hybrid_carrier,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,operation-profile recovery does not populate the aggregate hybrid carrier
fw_compact_hall_source_basis,compact_hall_source_basis,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-hybrid-operation-recovery,verified,operation-profile recovery does not supply compact Hall source basis vectors
