firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_quotient_first,quotient_first_hall_product,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,anchors are recorded before the reduced E quotient
firewall_determinant_anchor,determinant_anchor_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,row 212 assumes abstract anchors and does not construct lambda(F)
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,a scalar Fock factor forgets source and target anchors
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the Borcherds trace degree is not an anchor tuple
firewall_degree_shadow,degree_shadow_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,elliptic degree alone does not retain E-position anchors
firewall_anchor_after_quotient,anchor_after_quotient,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,post-quotient anchor classes lose ordered source and target memory
firewall_local_local,local_local_anchor_memory,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,local/local has no wrapped anchor input
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no anchor-memory payload
firewall_ordinary_ran,ordinary_Ran_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,ordinary Ran locality has no wrapped prequotient anchor
firewall_target_forgotten,target_anchor_forgotten,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,the target wrapped anchor is part of the datum
