obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,e3_status,proof_reference,check_status,notes
formal_chart,formal_target,derived formal neighborhood row,formal_target_charts.csv,derived_formal_neighborhood,derived_formal_neighborhood_id,The compact source needs a formal K3xE target chart,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:46,verified,no derived formal neighborhood row supplied
local_model,formal_target,finite local model row,formal_target_charts.csv,local_model,local_model_id,The E3 source must be built on finite retained local models,missing_open_obligation,appendices/F_finite_constructions.tex:54,verified,no local model row supplied
holomorphic_volume_form,formal_target,holomorphic volume form row,formal_target_charts.csv,holomorphic_volume_form,holomorphic_volume_form_id,The BV and Calabi-Yau pairing require a holomorphic volume form,missing_open_obligation,compute/verify_e3_source_fixture.py:63,verified,no volume-form row supplied
finite_type_chart,formal_target,finite type chart row,formal_target_charts.csv,finite_type_status,finite_type_status=verified,The source must be a finite HN-window chart not a formal slogan,missing_open_obligation,compute/verify_e3_source_fixture.py:63,verified,no finite-type chart row supplied
field_complex,field_complex,finite field complex row,field_complexes.csv,field_complex,complex_id and field_name,The E3 source needs actual field complexes,missing_open_obligation,compute/verify_e3_source_fixture.py:79,verified,no field complex row supplied
field_differential,field_complex,differential row,field_complexes.csv,differential,differential_id,The field complex must have a differential,missing_open_obligation,compute/verify_e3_source_fixture.py:79,verified,no differential row supplied
field_symplectic_pairing,field_complex,shifted symplectic pairing row,field_complexes.csv,symplectic_pairing,symplectic_pairing_id,The BV package needs a nondegenerate shifted symplectic pairing,missing_open_obligation,chapters/02_k3xe_setup.tex:1223,verified,no symplectic pairing row supplied
field_pairing_degree,field_complex,pairing degree row,field_complexes.csv,pairing_degree,pairing_degree integral,The Calabi-Yau degree of the pairing must be fixed,missing_open_obligation,compute/verify_e3_source_fixture.py:79,verified,no pairing degree row supplied
field_elliptic_window,field_complex,elliptic degree window row,field_complexes.csv,elliptic_degree_window,elliptic_degree_window_id,The source must retain the elliptic degree window before specialization,missing_open_obligation,compute/verify_e3_source_fixture.py:79,verified,no elliptic degree window row supplied
field_cohomology_defect,field_complex,zero cohomology defect row,field_complexes.csv,cohomology_defect,cohomology_defect_rank=0,The finite field complex must have controlled cohomology,missing_open_obligation,compute/verify_e3_source_fixture.py:79,verified,no cohomology defect row supplied
field_pairing_defect,field_complex,zero pairing defect row,field_complexes.csv,pairing_defect,pairing_defect_rank=0,The symplectic pairing must be nondegenerate on the retained rows,missing_open_obligation,compute/verify_e3_source_fixture.py:79,verified,no pairing defect row supplied
operation_unit,e3_operation,E3 unit operation row,e3_operations.csv,unit,operation_type=unit,The E3 source requires the operadic unit,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:159,verified,no unit operation row supplied
operation_binary_product,e3_operation,E3 binary product row,e3_operations.csv,binary_product,operation_type=binary_product,The source multiplication is not supplied without binary operation rows,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:159,verified,no binary product row supplied
operation_little_3_disks,e3_operation,little 3-disks action row,e3_operations.csv,little_3_disks_action,operation_type=little_3_disks_action,The operation must be E3 rather than merely associative,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:2995,verified,no little 3-disks action row supplied
operation_higher_coherence,e3_operation,higher E3 coherence row,e3_operations.csv,higher_coherence,operation_type=higher_coherence,The operad action requires coherence beyond binary multiplication,missing_open_obligation,compute/verify_e3_source_fixture.py:103,verified,no higher coherence row supplied
operation_locality,e3_operation,locality support row,e3_operations.csv,locality_support,locality_support_id,Factorization operations require locality support,missing_open_obligation,chapters/02_k3xe_setup.tex:1244,verified,no locality support row supplied
operation_associativity,e3_operation,zero associativity defect row,e3_operations.csv,associativity_defect,associativity_defect_rank=0,E3 associativity must be checked at finite stage,missing_open_obligation,compute/verify_e3_source_fixture.py:103,verified,no associativity defect row supplied
operation_equivariance,e3_operation,zero equivariance defect row,e3_operations.csv,equivariance_defect,equivariance_defect_rank=0,The E3 operations must be equivariant on retained charts,missing_open_obligation,compute/verify_e3_source_fixture.py:103,verified,no equivariance defect row supplied
operation_unitality,e3_operation,zero unit defect row,e3_operations.csv,unit_defect,unit_defect_rank=0,The unit operation must satisfy the finite-stage unit law,missing_open_obligation,compute/verify_e3_source_fixture.py:103,verified,no unit defect row supplied
qme_action_functional,bv_qme,BV action functional row,bv_qme.csv,action_functional,action_functional_id,The BV quantum master equation needs an action functional,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:48,verified,no action functional row supplied
qme_bv_laplacian,bv_qme,BV Laplacian row,bv_qme.csv,bv_laplacian,bv_laplacian_id,The QME is not formulated without a BV Laplacian,missing_open_obligation,compute/verify_e3_source_fixture.py:119,verified,no BV Laplacian row supplied
