obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,torsor_status,proof_reference,check_status,notes
weyl_lift_rows,weyl_transport,source_Weyl_lift_rows,weyl_lifts.csv,lift_matrix_id,tau_i_R_S_orientation_line_lift,row_313_needs_actual_tau_i_transport_not_only_target_reflections,missing_open_obligation,certificates/orientation/rhomred_weyl_wall_transport_tau/blocked_obligations.csv,verified,no_weyl_lift_rows_supplied
quotient_orientation_representatives,quotient_borel,quotient_orientation_representatives,quotient_borel.csv,representative_and_null_trivialization_rows,alpha_red_alpha_E_beta_H_lambda_H_representatives_and_null_trivialisations,omega_i_is_difference_of_transported_null_trivialisations,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/quotient_borel.csv,verified,no_quotient_borel_rows_supplied
finite_stabilizer_transport,finite_stabilizer,finite_stabilizer_transport_rows,weyl_lifts.csv,finite_stabilizer_transport,beta_H_edge_and_null_trivialization_transport,finite_stabilizer_part_contributes_H1_BH_coordinates,missing_open_obligation,certificates/orientation/rhomred_weyl_wall_transport_tau/blocked_obligations.csv,verified,no_finite_stabilizer_transport_rows_supplied
linearization_transport,finite_stabilizer,linearization_transport_rows,weyl_lifts.csv,linearization_transport,lambda_H_zero_transport_with_defect_rank,row_313_includes_H1_linearization_defect_coordinates,missing_open_obligation,certificates/orientation/rhomred_weyl_wall_transport_tau/blocked_obligations.csv,verified,no_linearization_transport_rows_supplied
quotient_cocycle_transport,quotient_borel,degree_two_representative_transport,weyl_lifts.csv,quotient_cocycle_transport,Theta2_q_source_minus_q_target_has_rank_zero,closedness_of_Delta_omega_requires_representative_transport,missing_open_obligation,certificates/orientation/rhomred_weyl_wall_transport_tau/blocked_obligations.csv,verified,no_quotient_transport_row_supplied
torsor_cochain_maps,cochain_transport,Theta1_and_Theta2_matrices,torsor_transport_rows.csv,theta1_theta2_matrix_ids,cochain_maps_on_quotient_orientation_complexes,defect_cochain_cannot_be_formed_without_transport_matrices,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-orientation-torsor-defect-computation,verified,no_theta_rows_supplied
h1_basis_rows,cohomology,H1_basis_for_target_torsor,torsor_defect_rows.csv,h1_basis_id,basis_for_H1_Mred_plus_sum_H1_BH,computation_requires_coordinates_for_omega_i_R_S,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-orientation-torsor-defect-computation,verified,no_H1_basis_rows_supplied
torsor_defect_vector,cohomology,omega_defect_vector,torsor_defect_rows.csv,defect_vector_id,coordinates_of_Delta_omega_in_H1_basis,this_is_the_row_313_computation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-orientation-torsor-defect-computation,verified,no_defect_vector_supplied
all_simple_reflection_coverage,coverage,all_retained_i_R_S_coverage,torsor_defect_rows.csv,coverage_row,defect_vector_for_every_retained_simple_reflection_and_stratum,O1_plus_requires_every_retained_wall_not_one_sample,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-orientation-torsor-defect-computation,verified,no_coverage_rows_supplied
vanishing_later,vanishing,row_314_zero_defect,torsor_defect_rows.csv,defect_vector_rank_zero,all_omega_i_R_S_coordinates_zero,row_313_computes_the_vectors_row_314_proves_zero,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1479,verified,row_314_left_separate
no_tau_criterion_substitution,firewall,row306_tau_criterion_firewall,scalar_firewall.csv,tau_criterion_excluded,a_Weyl_transport_criterion_without_rows_does_not_compute_omega,prevents_row306_from_being_read_as_row313,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-orientation-torsor-defect-computation,verified,firewall_records_exclusion
no_scalar_sign_substitution,firewall,scalar_sign_firewall,scalar_firewall.csv,scalar_sign_excluded,Maass_character_or_Pfaffian_sign_is_not_a_Cech_Borel_torsor_vector,prevents_scalar_signs_from_computing_omega,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-orientation-torsor-defect-computation,verified,firewall_records_exclusion
