degree_id,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,parent_terminal_count,coverage_role,proof_reference,check_status,notes
beta_0_3_3,0,3,3,0,0,3,6,0,10,12,18,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_0_3,3,0,3,3,0,0,6,0,10,12,18,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_3_4,0,3,4,0,-1,3,7,2,1,-12,13,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_4_3,0,4,3,0,1,4,7,2,1,-12,13,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_3_3,1,3,3,1,1,3,7,-22,-2752,-85,16,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_0_4,3,0,4,3,-1,0,7,2,1,-12,13,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_1_3,3,1,3,3,1,1,7,-22,-2752,-85,16,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_0_3,4,0,3,4,1,0,7,2,1,-12,13,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_4_4,0,4,4,0,0,4,8,0,10,90,8,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_3_4,1,3,4,1,0,3,8,-24,4016,-657,12,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_4_3,1,4,3,1,2,4,8,-24,4016,-657,12,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
