obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,ts_compatibility_status,proof_reference,check_status,notes
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,line_id_square_root_id_square_defect_rank_zero,TS_compatibility_requires_actual_orientation_lines,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_square_root_row_supplied
orientation_ts_isomorphism,multiplicativity,orientation_Thom_Sebastiani_isomorphism,ts_multiplicativity.csv,ts_isomorphism,extension_stack_id_left_line_id_right_line_id_target_line_id_ts_isomorphism_id,row_301_requires_the_Picard_groupoid_TS_isomorphism,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_TS_isomorphism_row_supplied
determinant_square_diagram,multiplicativity,determinant_square_compatibility,ts_multiplicativity.csv,determinant_square_diagram,(TS_o)^tensor2_equals_det_TS,orientation_TS_compatibility_is_a_square_root_condition,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,no_determinant_square_diagram_supplied
bbdjs_reduced_ts,vanishing_cycles,BBDJS_reduced_TS,thom_sebastiani_rows.csv,bbdjs_ts_row,reduced_vanishing_cycle_TS_on_extension_chart,oriented_coefficient_transport_tensors_BBDJS_TS_with_orientation_TS,missing_open_obligation,certificates/hybrid/mixed_correspondence_thom_sebastiani/manifest.json,verified,available_TS_rows_are_conditional_and_not_global_orientation_compatibility
coefficient_system_identity,multiplicativity,oriented_coefficient_system_TS,ts_multiplicativity.csv,coefficient_transport,TS_Phi_tensor_o_equals_TS_Phi_tensor_TS_o,Hall_product_uses_oriented_coefficient_system_not_orientation_line_alone,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,no_coefficient_system_identity_row_supplied
chart_overlap_cocycle,orientation,chart_overlap_TS_cocycle,ts_multiplicativity.csv,overlap_cocycle,overlap_defect_rank_zero,orientation_TS_must_be_independent_of_dcritical_chart,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,no_chart_overlap_cocycle_row_supplied
quotient_descent,orientation,quotient_descent_of_TS_orientation,quotient_borel.csv,quotient_transport,TS_orientation_descends_through_E_quotient,O1_requires_descent_of_the_TS_orientation_transport,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,quotient_orientation_not_supplied
two_step_flag_pentagon,multiplicativity,two_step_flag_TS_pentagon,ts_multiplicativity.csv,pentagon_defect,pentagon_defect_rank_zero,associativity_requires_zero_orientation_TS_pentagon_defect,missing_open_obligation,certificates/hybrid/four_input_pentagon_coherence/functorial_input_rows.csv,verified,orientation_pentagon_is_hypothesis_not_discharged
transition_compatibility,transition,TS_orientation_transition_compatibility,transitions.csv,strict_orientation_transition,strict_status_strict_verified,pro_object_coherence_requires_transition_of_TS_orientation,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,TS_compatibility_requires_the_vanishing_cycle_coefficient_system,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,TS_compatibility_alone_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
