check_id,theorem_id,forbidden_dependency_type,forbidden_dependency_id,forbidden_use,excluded_from_proof,separation_defect_rank,geometric_source_id,proof_reference,check_status,notes
forbid_automorphic_defines_pfaffian,thm_pfaffian_dirac,automorphic_section_defines_pfaffian,obj_automorphic_delta5,define_pfaffian_line_from_automorphic_section,true,0,theorem_dependency_rows,chapters/06_pfaffian_dirac.tex:78,verified,automorphic section is codomain and normalization only
forbid_denominator_recognition,thm_primitive_recognition,denominator_product_recognition,obj_bkm_denominator,infer_source_lie_algebra_from_denominator_product,true,0,finite_source_proof_tables,chapters/05_subsections/05_6_primitive_recognition.tex:965,verified,denominator product gives no source brackets or radicals
forbid_gravity_pfaffian,thm_pfaffian_dirac,gravity_residual_in_pfaffian,obj_gravity_residual,use_gravity_operator_algebra_in_pfaffian,true,0,theorem_dependency_rows,chapters/06_pfaffian_dirac.tex:78,verified,gravity residual is not used by Pfaffian theorem
forbid_gravity_recognition,thm_primitive_recognition,gravity_residual_in_recognition,obj_gravity_residual,use_gravity_operator_algebra_in_recognition,true,0,theorem_dependency_rows,chapters/06_pfaffian_dirac.tex:78,verified,gravity residual is not used by primitive recognition
forbid_mirror_pfaffian,thm_pfaffian_dirac,mirror_conjecture_in_pfaffian,obj_mirror_discriminant,use_period_conjecture_in_pfaffian,true,0,theorem_dependency_rows,chapters/06_pfaffian_dirac.tex:78,verified,mirror reading is conjectural and separate
forbid_mirror_recognition,thm_primitive_recognition,mirror_conjecture_in_recognition,obj_mirror_discriminant,use_period_conjecture_in_recognition,true,0,theorem_dependency_rows,chapters/06_pfaffian_dirac.tex:78,verified,mirror reading is not a source algebra input
forbid_op_orientation,thm_orientation_character,op_scalar_orientation,op_branch_sign,use_OP_scalar_branch_as_orientation_line,true,0,orientation_fixture_tables,chapters/06_pfaffian_dirac.tex:1114,verified,OP branch sign is scalar chamber data
forbid_scalar_orientation,thm_orientation_character,scalar_trace_orientation,obj_scalar_trace,recover_orientation_from_scalar_trace,true,0,orientation_fixture_tables,chapters/06_pfaffian_dirac.tex:78,verified,orientation is Picard groupoid data
forbid_scalar_bracket,thm_primitive_recognition,scalar_trace_primitive_bracket,obj_scalar_trace,recover_primitive_bracket_from_scalar_trace,true,0,finite_source_proof_tables,chapters/05_subsections/05_6_primitive_recognition.tex:965,verified,scalar trace gives no source bracket matrix
forbid_counit_koszul,thm_primitive_recognition,target_counit_source_koszul,obj_bkm_denominator,use_imported_counit_as_source_koszul,true,0,koszul_comparison_tables,chapters/05_subsections/05_6_primitive_recognition.tex:990,verified,target counit is not source Koszul datum
forbid_label_representative,thm_primitive_recognition,target_label_source_representative,obj_bkm_denominator,use_target_label_as_source_representative,true,0,finite_source_proof_tables,chapters/05_subsections/05_6_primitive_recognition.tex:997,verified,target labels are not compact representatives
forbid_wrel_tail_source,thm_primitive_recognition,wrel_tail_source_recognition,cert_wrel_tail_staircase,use_infinite_target_tail_as_compact_source_recognition,true,0,wrel_tail_staircase_rows,chapters/05_subsections/05_6_primitive_recognition.tex:878,verified,infinite degree tail is a target audit only
forbid_signed_row_parity,thm_primitive_recognition,signed_row_parity_recognition,cert_wrel_degree_closure,use_signed_row_as_parity_block,true,0,wrel_degree_closure_rows,chapters/05_subsections/05_6_primitive_recognition.tex:912,verified,signed rows do not supply parity pairing radical or PBW blocks
