obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,w2_status,proof_reference,check_status,notes
c1_determinant_line,orientation,w2_det_RHomred,c1_rows.csv,c1_row,c1_of_determinant_line,optimization_row_279_requires_c1_before_mod2_reduction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:rhomred-w2-formula,verified,no_integral_c1_row_supplied
grr_universal_kernel,orientation,w2_det_RHomred,grr_rows.csv,grr_row,ch_Kred_td_Tpi_pushforward_degree_one,determinant_of_cohomology_formula_needs_universal_kernel_expansion,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:rhomred-w2-formula,verified,no_GRR_expansion_row_supplied
mod2_reduction,orientation,w2_det_RHomred,mod2_rows.csv,mod2_row,c1_mod_2_value,row_279_requires_mod2_reduction_on_each_retained_substack,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:rhomred-w2-formula,verified,no_mod2_reduction_row_supplied
w2_determinant,orientation,w2_det_RHomred,w2_rows.csv,w2_row,w2_of_determinant_line,optimization_row_279,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1335,verified,w2_value_not_computed
topological_square_root,orientation,topological_square_root_condition,w2_rows.csv,w2_zero_row,w2_equals_0,topological_square_root_needs_w2_vanishing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:rhomred-w2-formula,verified,w2_zero_not_verified
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,line_id_square_root_id_square_defect_rank_zero,algebraic_orientation_requires_Picard_groupoid_square_root_not_only_w2,missing_open_obligation,certificates/orientation/rhomred_square_root/blocked_obligations.csv,verified,no_square_root_row_supplied
quotient_orientation,orientation,quotient_orientation,quotient_borel.csv,quotient_row,quotient_orientation_descends,needed_for_O1,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,quotient_orientation_not_supplied
transition_compatibility,transition,orientation_transition_compatibility,transitions.csv,strict_orientation_transition,strict_status_strict_verified,needed_for_pro_object_coherence,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,needed_for_Hall_coefficients,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,w2_formula_does_not_construct_coefficient_system
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,needed_for_pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
