firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_ap_compatibility,ap_compatibility_theorem,true,0,Liu product-stability definition packet,verified,compatibility with the retained AP heart is the next row
fw_noetherian,retained_window_noetherianity,true,0,Liu product-stability definition packet,verified,retained-window noetherianity has its own packet
fw_hn,retained_hn_filtrations,true,0,Liu product-stability definition packet,verified,retained finite HN filtrations have their own packet
fw_hn_bounds,bounded_hn_types,true,0,Liu product-stability definition packet,verified,bounded HN type data have their own packet
fw_semistable,finite_type_semistable_substacks,true,0,Liu product-stability definition packet,verified,no finite-type semistable substacks are constructed
fw_derived,quasi_smooth_moduli,true,0,Liu product-stability definition packet,verified,no derived enhancement is constructed
fw_universal,universal_complexes,true,0,Liu product-stability definition packet,verified,no universal complex is constructed
fw_hall,compact_hall_stage,true,0,Liu product-stability definition packet,verified,no compact Hall stage is constructed
fw_pfaffian,pfaffian_orientation,true,0,Liu product-stability definition packet,verified,no Pfaffian orientation is supplied
fw_trace,protected_trace,true,0,Liu product-stability definition packet,verified,no protected trace is supplied
