relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
finite_object_set,row_count,5,5,0,finite retained-window noetherian packet,verified,five retained objects are supplied
subobject_closure,row_count,8,8,0,finite retained-window noetherian packet,verified,eight strict subobject rows have retained quotients
quotient_closure,row_count,8,8,0,finite retained-window noetherian packet,verified,eight quotient ids lie in the retained window
strict_length_increase,row_count,8,8,0,finite retained-window noetherian packet,verified,length strictly increases on every strict inclusion
subobject_graph_acyclic,formal_identity,1,1,0,finite retained-window noetherian packet,verified,strict subobject graph is acyclic
chain_bound_verified,max_chain_length,3,3,0,finite retained-window noetherian packet,verified,longest strict chain length is three
retained_window_noetherian,formal_identity,1,1,0,finite retained-window noetherian packet,verified,ACC holds inside the finite retained window
global_noetherianity_not_proved,firewall,1,1,0,finite retained-window noetherian packet,verified,global AP/Liu noetherianity is not proved here
hn_filtration_not_proved,firewall,1,1,0,finite retained-window noetherian packet,verified,HN filtrations are item 163 and not proved here
finite_moduli_not_proved,firewall,1,1,0,finite retained-window noetherian packet,verified,finite moduli are later obligations
