obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
finite_orientation_line_rows,orientation_line,finite_orientation_line_rows,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,orientation_line,o_R_square_root_of_det_Kred_for_each_retained_stage,the_limit_class_needs_finite_objects_to_survive,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_orientation_line_rows_supplied
square_root_rows,orientation_line,square_root_rows,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,square_root,square_defect_rank_zero_for_each_o_R,Joyce_Upmeier_orientation_survival_requires_actual_square_roots,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_square_root_rows_supplied
orientation_class_zero_rows,orientation_line,orientation_class_zero_rows,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,orientation_class_rank,orientation_class_rank_zero_for_each_retained_stage,the_finite_orientation_class_must_exist_before_it_can_survive,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_orientation_class_zero_rows_supplied
picard_transition_rows,picard_groupoid,Picard_pullback_transition_rows,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,pullback_isomorphism,theta_o_RRprime_pullback_o_Rprime_to_o_R,finite_classes_survive_only as a compatible inverse system,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_Picard_transition_rows_supplied
determinant_square_transition_rows,picard_groupoid,determinant_square_transition_rows,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,determinant_square_commutes,transition_preserves_square_root_diagram,orientation_line_transport_must_preserve_the_square_root_not_only_the_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_determinant_square_transition_rows_supplied
quotient_orientation_transition_rows,quotient_borel,quotient_orientation_transport,certificates/orientation/transition_orientation_preservation/null_trivialization_transport.csv,quotient_orientation_transport,Cech_Borel_null_trivialisations_transport_under_R_to_Rprime,O1_orientation_includes_quotient_trivialisations,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_null_trivialization_transport_rows_supplied
thom_sebastiani_transition_rows,multiplicativity,Thom_Sebastiani_transition_rows,certificates/orientation/transition_orientation_preservation/multiplicative_weyl_transport.csv,ts_transition,TS_orientation_isomorphisms_commute_with_transitions,survival_of_orientation_as_Hall_data_needs_multiplicativity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_TS_transition_rows_supplied
weyl_coxeter_transition_rows,weyl_transport,Weyl_and_Coxeter_transition_rows,certificates/orientation/transition_orientation_preservation/multiplicative_weyl_transport.csv,weyl_coxeter_transition,Weyl_lifts_and_Coxeter_cochain_commute_with_transitions,O1_plus_orientation_survival_includes_Weyl_equivariant_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_Weyl_or_Coxeter_transition_rows_supplied
strict_picard_composition,transition,strict_Picard_groupoid_transition_rows,certificates/orientation/transition_orientation_preservation/transition_defects.csv,picard_groupoid_defect_zero,identity_and_composition_defect_ranks_zero,pairwise_transition_isomorphisms_are_not_an_inverse_system_without_strict_composition,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_strict_Picard_transition_rows_supplied
orientation_mittag_leffler,ml_exactness,orientation_Mittag_Leffler_row,certificates/orientation/transition_orientation_preservation/transition_defects.csv,orientation_ml,R1lim_rank_zero_for_orientation_Picard_data,inverse_limit_survival_requires_killing_the_R1lim_obstruction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_orientation_ML_row_supplied
limit_class_row,limit,limit_orientation_class_row,limit_survival_rows.csv,limit_class,o_infty_equals_lim_R_o_R_theta_RRprime,the_pro_object_orientation_must_be_recorded_as_a_limit_row,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,no_limit_class_row_supplied
row338_not_survival,orientation,row_338_CY3_pairing_nondegeneracy,certificates/orientation/rhomred_orientation_cy3_pairing_nondegeneracy/manifest.json,row338,finite_pairing_nondegeneracy_modulo_radical,row338_does_not_construct_orientation_classes_or_ML_exactness,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,row338_kept_separate
row340_no_new_class,orientation,row_340_no_new_orientation_class_at_limit,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_340,prove_no_new_orientation_class_appears_at_limit,survival_of_given_classes_does_not_exclude_extra_limit_classes,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,row340_kept_separate
