obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
compact_geometric_hall_bialgebra_datum,hall_bialgebra,compact Hall bialgebra datum,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,bialgebra_identity,zero unit counit associativity coassociativity and bialgebra rows,row365 assumes the bialgebra datum before the Hopf pairing defect tuple,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_current_bialgebra_datum
compact_geometric_hopf_pairing_datum,hopf_pairing,compact Hopf-pairing datum,certificates/hall/finite_hall_compact_geometric_hopf_pairing_datum/datum_rows.csv,source_datum,source trace correspondences G K Q and witness rows,row365 assumes the row364 datum rather than constructing it,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,row364_current_source_datum_false
source_degree_zero_trace,trace,source degree-zero trace row,source_trace_rows.csv,trace_row,tr_0_R on degree-zero compact Hall block,the Hopf pairing is defined from the source trace,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_source_trace_row_supplied
positive_negative_correspondences,geometry,positive-negative pairing correspondences,pairing_correspondence_rows.csv,pairing_correspondence,compact correspondences for total degree zero,the G matrix must come from source correspondences,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_pairing_correspondence_rows_supplied
cyclic_three_point_coherences,geometry,cyclic three-point coherences,cyclic_pairing_correspondence_rows.csv,cyclic_correspondence,three-charge correspondences with cyclic permutation isomorphisms,Frobenius cyclicity is a geometric source datum,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_cyclic_correspondence_rows_supplied
source_M_D_G_K_Q_rows,finite_matrix,source M D G K Q rows,certificates/sources/k3e_compact_hall/M_entries.csv,matrix_tables,product coproduct pairing radical and quotient matrices,the defect tuple has finite matrix entries only after source rows exist,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_source_matrix_rows_supplied
source_hopf_adjointness_defects,hopf_pairing,Hopf-adjointness defect rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,hopf_adjointness,zero defect rank for product-coproduct pairing adjointness,first component of O_Hpair_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_adjointness_rows_supplied
source_frobenius_cyclic_defects,hopf_pairing,Frobenius cyclic defect rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,frobenius_cyclic,zero defect rank for primitive Frobenius cyclic identity,second component of O_Hpair_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_Frobenius_rows_supplied
source_quotient_nondegeneracy_witnesses,hopf_pairing,quotient nondegeneracy witness rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_nondegenerate,full-rank quotient pairing witnesses,third component of O_Hpair_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_qnd_rows_supplied
radical_coideal_rows,radical_quotient,radical coproduct coideal rows,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,coproduct_coideal,rank-zero quotient coproduct of radicals,the coideal conclusion needs the Hopf adjointness and quotient pairing rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_coideal_rows_supplied
radical_lie_ideal_rows,radical_quotient,radical Lie ideal rows,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,lie_ideal,rank-zero bracket image modulo radical,the Lie ideal conclusion needs Frobenius cyclic rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_lie_ideal_rows_supplied
quotient_hopf_pairing_rows,radical_quotient,quotient Hopf pairing rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_hopf_pairing,descended bracket coproduct and pairing on radical quotient,the quotient structure follows only after all Hpair components vanish,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,no_quotient_Hopf_pairing_rows_supplied
source_vs_target_firewall,firewall,source-target comparison firewall,scalar_firewall.csv,target_source_separation,target BKM Hopf form cannot supply compact source Hpair defects,recognition comparison comes after source datum construction,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,target_shortcut_excluded
scalar_trace_firewall,firewall,scalar trace firewall,scalar_firewall.csv,trace_separation,level-Z protected trace is not source degree-zero trace,the source Hopf pairing is before scalar shadow,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,scalar_trace_shortcut_excluded
