obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_degree_zero_trace,trace,source degree-zero trace row,source_trace_rows.csv,trace_row,tr_0_R on degree-zero compact Hall block,the Hopf pairing is defined by source trace evaluation not by scalar trace,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_source_trace_row_supplied
positive_negative_correspondences,geometry,positive-negative pairing correspondences,pairing_correspondence_rows.csv,pairing_correspondence,compact correspondences P_red_R_gamma_minusgamma_0,the G matrix must come from source correspondences,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_pairing_correspondence_rows_supplied
orientation_transport,orientation,orientation transport rows,pairing_orientation_rows.csv,orientation_transport,orientation transport for source pairing correspondences,oriented vanishing-cycle coefficients require source orientation transport,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_orientation_transport_rows_supplied
thom_sebastiani_transport,coefficient,Thom-Sebastiani transport rows,pairing_ts_rows.csv,thom_sebastiani_transport,TSred transport for product pairing and cyclic three-point correspondences,the Hopf-pairing coefficients require TS compatibility,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_TS_transport_rows_supplied
source_G_entries,hopf_pairing,source positive-negative pairing matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,finite source pairing constants,the datum includes G matrices on retained parity blocks,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_G_entries_supplied
source_K_entries,radical_quotient,source radical matrices,certificates/sources/k3e_compact_hall/K_entries.csv,K_entry,finite radical bases for G,the datum includes kernel matrices before quotient,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_K_entries_supplied
source_Q_entries,radical_quotient,source quotient splittings,certificates/sources/k3e_compact_hall/Q_entries.csv,Q_entry,finite quotient splitting matrices,the datum includes quotient splittings before recognition comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_Q_entries_supplied
cyclic_three_point_correspondences,geometry,cyclic three-point correspondences,cyclic_pairing_correspondence_rows.csv,cyclic_correspondence,three-charge compact correspondences and cyclic permutation isomorphisms,Frobenius cyclicity must come from source three-point geometry,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_cyclic_three_point_rows_supplied
hopf_adjointness_witnesses,hopf_pairing,Hopf-adjointness witness rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,hopf_adjointness,zero defect rows for product-coproduct adjointness,the datum must witness row362 at source level,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_adjointness_rows_supplied
frobenius_cyclic_witnesses,hopf_pairing,Frobenius cyclic witness rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,frobenius_cyclic,zero defect rows for primitive Frobenius cyclic identity,the datum must witness row361 at source level,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_Frobenius_rows_supplied
quotient_nondegeneracy_witnesses,hopf_pairing,quotient nondegeneracy witness rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_nondegenerate,full-rank quotient pairing witnesses,the datum must witness row363 at source level,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_qnd_rows_supplied
serre_sign_rows,orientation,reduced CY3 Serre sign rows,certificates/orientation/rhomred_orientation_cy3_serre_signs/serre_sign_rows.csv,serre_sign_row,source determinant and Koszul sign exponents for cyclicity,cyclic three-point coherences require source Serre signs,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,no_Serre_sign_rows_supplied
level_Z_trace_firewall,firewall,level-Z trace firewall,scalar_firewall.csv,trace_separation,level-Z protected trace is not source degree-zero trace,the source Hopf pairing is before scalar shadow,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,scalar_trace_shortcut_excluded
target_hopf_firewall,firewall,target Hopf form firewall,scalar_firewall.csv,target_source_separation,target BKM or GN Hopf forms cannot replace source compact Hopf pairing datum,recognition comparison comes after source datum construction,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hopf-pairing-datum,verified,target_shortcut_excluded
