obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,routing_status,proof_reference,check_status,notes
retained_branch_comparison_rows,branch_comparison,retained branch comparison rows,branch_comparison_rows.csv,branch_comparison_row,"b_R_geom equals d=m+1 for an actual retained HN class with overlinePi image (0,1,1)",routing arithmetic does not populate retained geometric degree rows,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:geometric-borcherds-degree-comparison-datum,verified,no retained branch comparison row supplied
retained_wall_object_row,wall_object,retained wrapped middle-wall object,wall_objects.csv,wall_object_row,"x_delta2_R in M_eta_R_wr_rig with overlinePi image (0,1,1)",routing does not construct the O2 retained wall object,missing_open_obligation,chapters/06_pfaffian_dirac.tex:534,verified,no retained wall object row supplied
effective_support_realization,support_realization,effective support-cycle realization,support_realization_rows.csv,support_row,cyc_1(A) effective and p_E support equals E for the retained object,positive projection theorem needs an object support row,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:prop:positive-elliptic-degree-projects,verified,no object support-realization row supplied
anchor_population,anchor,populated wrapped anchor row,anchor_rows.csv,anchor_row,lambda_eta_R:M_eta_R_wr_rig to E with zero anchor defect,wrapped routing needs anchors before it becomes a hybrid operation datum,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:e-equivariant-wrapped-prequotient-stack,verified,no anchor population row supplied
mixed_extension_stack_rows,mixed_correspondence,populated mixed extension stacks,extension_stack_rows.csv,extension_stack_row,LW WL and LWL stacks for the middle wrapped colour and local colours,the definition rows do not populate finite mixed correspondence stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:mixed-local-wrapped-correspondence-datum,verified,no mixed extension-stack rows supplied
o2_wall_atlas_rows,o2_wall_atlas,retained type-II wall-atlas rows,wall_objects.csv,atlas_row,wall objects charts overlaps orbit transport half-Hilbert orbit compatibilities and scalar separation,O2 uses routing but requires its own retained atlas,missing_open_obligation,chapters/06_pfaffian_dirac.tex:534,verified,no O2 atlas row supplied
quotient_descent,quotient,quotient-after-correspondence descent rows,quotient_pseudofunctor.csv,quotient_row,E-quotient pseudofunctor and theta comparison with zero defect,wrapped and mixed routing is before the reduced E-quotient,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:quotient-after-correspondence-pseudofunctor,verified,no quotient-descent row supplied
protected_integration,protected_integration,protected integration rows,protected_integration.csv,integration_row,chain map product coproduct primitive transition and Gram-degree defects vanish,routing does not define the protected scalar trace,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no protected integration row supplied
hybrid_carrier_population,aggregate_population,aggregate hybrid-carrier population rows,certificates/hybrid/k3e_hybrid_carrier,carrier_row,hybrid base local configurations wrapped prequotients correspondences flags quotient and transitions populated,the middle-wall routing packet is not the aggregate hybrid carrier,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate hybrid carrier remains blocked
transition_compatibility,transition,finite-stage transition rows,transitions.csv,transition_row,R to Rprime compatibility for wall routing wrapped anchors mixed maps and quotient data,pro-object compatibility needs transition rows,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no transition rows supplied
