obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_parity_block,source_parity,delta123_source_parity_block,compatibility_rows.csv,source_parity_block,even_rank_29_odd_rank_93_on_source_delta123_block,target_29_93_does_not_prove_source_parity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_source_parity_block_row_supplied
source_parity_involution,source_parity,delta123_source_parity_involution,compatibility_rows.csv,source_parity_involution,J_squared_equals_1_and_eigenspaces_29_93,compatibility_is_a_statement_about_the_fermion_parity_operator,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_source_parity_involution_row_supplied
source_target_comparison,comparison,delta123_source_target_parity_comparison,compatibility_rows.csv,source_target_comparison,source_even_maps_to_2_plus_27_and_source_odd_maps_to_93,target_presentation_must_be_realized_by_source_blocks,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_source_target_comparison_row_supplied
orientation_square_root,orientation_line,delta123_orientation_square_root,compatibility_rows.csv,orientation_square_root,o_123_tensor_2_equals_det_Kred_123,compatibility_requires_an_orientation_line_not_only_a_determinant_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_orientation_square_root_row_supplied
ber_factorization,determinant,berezinian_factorization_row,compatibility_rows.csv,ber_factorization,det_Kred_equals_det_even_tensor_det_odd_inverse,the_orientation_square_must_be_compared_with_the_parity_split_determinant,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_ber_factorization_row_supplied
determinant_square,orientation_line,commuting_determinant_square,compatibility_rows.csv,determinant_square,orientation_square_commutes_with_berezinian_factorization,line_level_compatibility_is_a_commuting_square_in_the_Picard_groupoid,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_determinant_square_row_supplied
quotient_orientation,orientation,quotient_orientation_on_parity_blocks,compatibility_rows.csv,quotient_orientation,quotient_nulltrivialisations_restrict_to_even_and_odd_blocks,O1_descent_data_must_be_compatible_with_the_parity_split,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_quotient_orientation_row_supplied
parity_commutator_transition,transition,parity_commutator_transition_row,compatibility_rows.csv,parity_transition,J_target_T_minus_T_J_source_has_zero_defect,the_parity_split_must_survive_HN_transitions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_parity_commutator_row_supplied
off_diagonal_zero_transition,transition,off_diagonal_zero_transition_row,compatibility_rows.csv,off_diagonal_zero,even_to_odd_and_odd_to_even_transition_blocks_zero,transition_maps_must_preserve_both_parity_summands,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_off_diagonal_zero_row_supplied
orientation_line_pullback,transition,orientation_line_pullback_row,compatibility_rows.csv,orientation_transition,pullback_o_Rprime_is_o_R_and_square_commutes,orientation_line_compatibility_must_be_preserved_as_a_Picard_groupoid_statement,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_orientation_pullback_row_supplied
orientation_mittag_leffler,transition,orientation_ML_row,compatibility_rows.csv,orientation_ml,R1lim_zero_for_orientation_and_parity_blocks,pro_object_compatibility_requires_inverse_limit_exactness,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,no_orientation_ML_row_supplied
row333_negative_root_compatibility,orientation,row_333_negative_root_compatibility,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_333,orientation_line_compatible_with_negative_roots,row332_handles_positive_delta123_parity_split_only,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,row333_kept_separate
row334_chevalley_antiinvolution,orientation,row_334_chevalley_antiinvolution,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_334,Chevalley_antiinvolution_on_orientation_data,row332_does_not_construct_negative_root_antiinvolution,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,row334_kept_separate
