obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_chiral_object,coalgebra,coaugmented chiral coalgebra,coalgebra_rows.csv,source_object,C_X_R as source chiral object with coaugmentation,needed before C_X_R is a constructed coalgebra,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
source_counit,coalgebra,counit map,coalgebra_rows.csv,counit,epsilon_C_R satisfying counit identities,needed for coaugmented conilpotent coalgebra,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
finite_charge_filtration,filtration,finite charge filtration,filtration_rows.csv,finite_filtration,F_co_R_p with finite graded pieces,needed for finite-stage conilpotence and inverse-limit control,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
bar_length_bound,filtration,bounded bar length,filtration_rows.csv,bound_N_R,N_R bounding reduced coproduct length,needed for nilpotence of the reduced iterated coproduct,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
normal_ordered_gram_grading,filtration,normal-ordered Gram grading,filtration_rows.csv,gram_grading,Gamma_R_Pi grading compatibility,needed to prevent raw quadratic Pi_X from grading the coalgebra,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
collision_coproduct_rows,coproduct,collision coproduct matrices,coalgebra_rows.csv,collision_coproduct,Delta_ch_R from retained flag correspondences,needed before coalgebra identities can be tested,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
coalgebra_coassociativity,coproduct,coassociativity identity rows,coalgebra_rows.csv,coassociativity,Delta_ch_R coassociativity via higher-coloured flags,needed for coalgebra structure,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
coalgebra_counit_identities,coproduct,counit identity rows,coalgebra_rows.csv,counit_identity,left and right counit identities,needed for coaugmented coalgebra structure,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
quotient_after_correspondence,coproduct,quotient coalgebra identity rows,coalgebra_rows.csv,quotient_identity,Q_E_R compatibility with coalgebra maps,needed because quotient after correspondence is not automatic,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
conilpotence_nilpotence,conilpotence,reduced iterated coproduct zero row,conilpotence_rows.csv,nilpotence,Delta_bar_R to the N_R plus one is zero,needed before conilpotent is a theorem,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
transition_coalgebra_maps,transition,coalgebra transition maps,coproduct_transition_rows.csv,transition_map,rho_C_Rprime_R commuting with coalgebra data,needed for the pro-coalgebra,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
transition_coproduct_intertwining,transition,coproduct transition identities,coproduct_transition_rows.csv,coproduct_intertwining,transition maps commute with Delta_ch_R,needed before inverse limit preserves coalgebra,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
strict_mittag_leffler,inverse_limit,strict ML rows,inverse_limit_rows.csv,strict_ml,image stabilization for source coalgebra tower,needed to kill R1lim obstruction,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
inverse_limit_construction,inverse_limit,limit coalgebra row,inverse_limit_rows.csv,limit_object,C_X as inverse limit source coalgebra,needed before C_X is a constructed object,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
bar_koszul_comparison,koszul,bar-cobar comparison rows,inverse_limit_rows.csv,bar_cobar_comparison,source bar-cobar domain and comparison with hybrid source,needed before Koszul source comparison can use C_X_R,missing_open_obligation,def:conilpotent-source-coalgebra,verified,row 369 records absence
source_target_separation,firewall,source target separation row,scalar_firewall.csv,separation,C_X_R source coalgebra separated from target denominator,needed to avoid importing target BKM data as source coalgebra,missing_open_obligation,prop:conilpotent-source-coalgebra-firewall,verified,row 369 records absence
