coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
datum_count,local_datum,1,1,0,datum_rows.csv,verified,one comparison datum row is recorded
scope_rows,local_scope,4,4,0,scope_rows.csv,verified,four scope rows separate cited theorems from compact K3xE
integral_form_rows,local_required_rows,0,0,0,integral_form_rows.csv,verified,no compact integral-form row is supplied
completion_rows,local_required_rows,0,0,0,completion_rows.csv,verified,no separated or complete completion row is supplied
drinfeld_double_rows,local_required_rows,0,0,0,drinfeld_double_rows.csv,verified,no compact Drinfeld-double row is supplied
stable_envelope_rows,local_required_rows,0,0,0,stable_envelope_rows.csv,verified,no compact stable-envelope row is supplied
cartan_rows,local_required_rows,0,0,0,cartan_rows.csv,verified,no Cartan identification or primitive-survival row is supplied
compact_source_A_entries,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/A_entries.csv,verified,no compact comparison matrix rows are supplied
compact_source_hopf_pairing_identity_rows,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no compact Hopf pairing identity rows are supplied
compact_source_radical_ideal_coideal_rows,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,verified,no compact radical ideal coideal rows are supplied
compact_source_transition_rows,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/transitions.csv,verified,no compact transition rows are supplied
d0_retained_rows,imported_d0,0,0,0,certificates/d0/k3e_d0_hn/retained_substacks.csv,verified,no retained D0-HN substack rows are supplied
o2_wall_chart_rows,imported_o2,0,0,0,certificates/wall_atlas/k3e_o2_atlas/wall_charts.csv,verified,no O2 wall chart rows are supplied
