obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,lim1_status,proof_reference,check_status,notes
cofinal_hn_sequence,indexing,cofinal HN sequence or directed subsystem,cohomology_towers.csv,cofinal_index,cofinal subsystem with base and successor witnesses,lim1 is computed on a specified inverse system not on an informal height parameter,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no cofinal HN sequence row supplied
moduli_stack_inputs,moduli_input,retained moduli stack inputs,cohomology_towers.csv,moduli_stack_input,object extension mixed wrapped and two-step flag stack identifiers,the cohomology tower cannot be formed before the retained stacks are named,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv:1,verified,no complete retained moduli stack rows supplied
transition_geometry_input,transition_input,proper or closed transition geometry,cohomology_transition_maps.csv,moduli_transition_input,transition morphisms for retained stacks with proper or closed control,cohomology transition maps require geometric transition morphisms,missing_open_obligation,certificates/moduli/finite_moduli_transition_geometry/README.md:1,verified,no transition geometry input row supplied
coefficient_system_rows,coefficients,coefficient system rows,coefficient_systems.csv,coefficient_system,constructible or Borel-Moore coefficient objects with transition transport,cohomology groups depend on the coefficient system not only on the stack,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no coefficient system rows supplied
cohomology_group_rows,cohomology,finite cohomology group rows,cohomology_towers.csv,cohomology_group,cohomology group id degree stack kind coefficient and support block,the tower must list the groups whose inverse limit is taken,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no cohomology group rows supplied
finite_rank_rows,cohomology,finite rank cohomology rows,cohomology_towers.csv,finite_rank,finite rank for every retained cohomology group,finite-dimensionality is needed before finite image stabilization can be checked,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no finite rank cohomology rows supplied
cohomology_transition_maps,transition,cohomology transition maps,cohomology_transition_maps.csv,cohomology_transition_map,linear maps induced by proper pushforward closed restriction or specified six-functor operation,ML is a property of maps between cohomology groups,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no cohomology transition maps supplied
transition_functoriality,transition,cohomology transition functoriality,ml_r1lim_defects.csv,functoriality_defect_zero,zero defect for identity and two-step composition on cohomology maps,lim1 is not defined without a functorial inverse system,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no functoriality defect row supplied
image_subspace_rows,image_stabilization,image subspace rows,image_stabilization.csv,image_subspace,explicit image basis inside each fixed base-stage cohomology group,ML image stabilization must be checked as a subspace equality,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no image subspace rows supplied
image_stabilization_witness,image_stabilization,image stabilization witness,image_stabilization.csv,image_stabilization,witness stage after which all later images equal the stabilized image,this is the finite matrix form of the Mittag-Leffler condition,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no image stabilization witness supplied
strict_ml_status,ml_exactness,strict Mittag-Leffler status row,ml_r1lim_defects.csv,ml_status,strict_status=strict_verified and ml_status=ml_verified for each tower,the pro-moduli cohomology tower needs a verified ML row,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv:19,verified,no strict ML status row supplied
r1lim_zero_row,ml_exactness,zero R1lim row,ml_r1lim_defects.csv,r1lim_zero,r1lim_rank equal to zero for every stack kind coefficient and degree,this is row 195 and the exactness needed for componentwise inverse limits,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv:21,verified,no R1lim zero row supplied
degreewise_exhaustion,coverage,degreewise cohomological coverage,cohomology_towers.csv,degreewise_coverage,coverage row for every retained cohomological degree and support block,a narrow degree check cannot prove lim1 vanishing for the whole moduli cohomology tower,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,no degreewise coverage row supplied
no_scalar_lim1_substitution,firewall,scalar-or-geometric firewall,scalar_firewall.csv,scalar_lim1_substitution_excluded,excludes finite type properness Euler characteristics traces target windows bounded HN data and transition geometry alone,prevents scalar or geometric existence rows from being read as R1lim vanishing,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:moduli-cohomology-ml,verified,firewall rows supplied but cohomology ML data absent
