obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,source_status,proof_reference,check_status,notes
source_degrees,source_basis,compact source degree rows,degrees.csv,compact_source_degree,Gram degree sign window membership and source admissibility,Recognition clauses R0 R3 require source degrees before comparison,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:569,verified,no source degree rows supplied
parity_blocks,source_basis,even and odd source ranks,parity_blocks.csv,even_odd_ranks,source even rank source odd rank and target parity rank,Recognition clause R3 requires two parity ranks not signed difference,missing_open_obligation,certificates/hall/transition_parity_decomposition_preservation/README.md:1,verified,no source parity rows supplied; see transition_parity_decomposition_preservation obstruction packet for transition preservation
basis_provenance,source_basis,geometric basis provenance,basis_provenance.csv,geometric_basis_rows,charge lift stratum vanishing summand orientations stabilizer and transition data,Recognition clause R0 requires compact source basis provenance,missing_open_obligation,certificates/hall/transition_parity_decomposition_preservation/README.md:1,verified,no provenance rows supplied; parity-homogeneous transition bases are isolated in transition_parity_decomposition_preservation
simple_representatives,source_basis,simple primitive representatives,simple_representatives.csv,simple_primitive_rows,source e f h and imaginary simple representatives with parity,Recognition clauses R1 R2 require source representatives before relations,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:614,verified,no simple representatives supplied
hall_product_M,hall_bialgebra,Hall product matrix,M_entries.csv,product_matrix,finite source product constants in homogeneous bases,Primitive bracket and Hall bialgebra identities require product data,missing_open_obligation,certificates/hall/transition_hall_product_preservation/README.md:1,verified,no M entries supplied; see transition_hall_product_preservation obstruction packet for transition preservation
hall_coproduct_D,hall_bialgebra,Hall coproduct matrix,D_entries.csv,coproduct_matrix,finite source coproduct constants in homogeneous bases,Primitives are defined as kernel of reduced coproduct,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/README.md:1,verified,no D entries supplied; see transition_hall_coproduct_preservation obstruction packet for transition preservation
hall_unit,hall_bialgebra,Hall unit map,unit_counit.csv,unit,finite unit entries for the Hall algebra,Unit identities are part of Hall bialgebra data,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:618,verified,no unit rows supplied
hall_counit,hall_bialgebra,Hall counit map,unit_counit.csv,counit,finite counit entries for the Hall coalgebra,Counit identities are part of Hall bialgebra data,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:618,verified,no counit rows supplied
identity_unit_left,hall_bialgebra,left unit identity,hall_bialgebra_identities.csv,unit_left,zero defect rank for left unit,Hall product is not a bialgebra without unit law,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no unit left check supplied
identity_unit_right,hall_bialgebra,right unit identity,hall_bialgebra_identities.csv,unit_right,zero defect rank for right unit,Hall product is not a bialgebra without unit law,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no unit right check supplied
identity_counit_left,hall_bialgebra,left counit identity,hall_bialgebra_identities.csv,counit_left,zero defect rank for left counit,Primitive kernel requires a coalgebra with counit,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no counit left check supplied
identity_counit_right,hall_bialgebra,right counit identity,hall_bialgebra_identities.csv,counit_right,zero defect rank for right counit,Primitive kernel requires a coalgebra with counit,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no counit right check supplied
identity_associativity,hall_bialgebra,Hall associativity,hall_bialgebra_identities.csv,associativity,zero defect rank for associativity,Bracket from supercommutator requires associative product,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no associativity check supplied
identity_coassociativity,hall_bialgebra,Hall coassociativity,hall_bialgebra_identities.csv,coassociativity,zero defect rank for coassociativity,Primitive kernel requires a coassociative coproduct,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no coassociativity check supplied
identity_bialgebra_compatibility,hall_bialgebra,product coproduct compatibility,hall_bialgebra_identities.csv,bialgebra_compatibility,zero defect rank for Delta m equals signed m tensor m Delta tensor Delta,Hall product alone does not construct primitive Lie coalgebra,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:154,verified,no bialgebra compatibility check supplied
identity_primitive_closure,hall_bialgebra,primitive closure,hall_bialgebra_identities.csv,primitive_closure,zero defect rank for supercommutator preserving primitives,The primitive bracket is defined only after closure in kernel of coproduct,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:622,verified,no primitive closure check supplied
bracket_B,primitive_bracket,source bracket matrix,B_entries.csv,supercommutator_matrix,finite supercommutator constants derived from M,Recognition clauses R2 R4 require source bracket matrices,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:617,verified,no B entries supplied
pairing_G,hopf_pairing,Hopf pairing matrix,G_entries.csv,pairing_matrix,finite positive negative pairing constants,Recognition clause R4 requires Hopf pairing and radical,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:626,verified,no G entries supplied
identity_hopf_adjointness,hopf_pairing,Hopf adjointness,hopf_pairing_identities.csv,hopf_adjointness,zero defect rank for pairing product coproduct adjointness,Hopf pairing is not constructed by a bilinear matrix alone,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:626,verified,no Hopf adjointness row supplied
identity_frobenius_cyclic,hopf_pairing,Frobenius cyclic identity,hopf_pairing_identities.csv,frobenius_cyclic,zero defect rank for primitive Frobenius cyclic identity,Pairing must be compatible with primitive bracket,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:626,verified,no Frobenius cyclic row supplied
identity_quotient_nondegenerate,hopf_pairing,quotient nondegeneracy,hopf_pairing_identities.csv,quotient_nondegenerate,zero defect rank after radical quotient,Recognition requires nondegenerate pairing on quotient,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:626,verified,no quotient nondegeneracy row supplied
radical_kernel_K,radical_quotient,radical kernel matrix,K_entries.csv,kernel_matrix,finite radical kernel basis in source degree,Recognition clause R4 requires source radical before quotient,missing_open_obligation,certificates/hall/transition_radical_preservation/README.md:1,verified,no K entries supplied; see transition_radical_preservation obstruction packet for transition preservation
quotient_splitting_Q,radical_quotient,quotient splitting matrix,Q_entries.csv,quotient_splitting,finite splitting of radical quotient,Comparison map A is defined on quotient basis not raw source basis,missing_open_obligation,certificates/hall/transition_radical_preservation/README.md:1,verified,no Q entries supplied; see transition_radical_preservation obstruction packet for quotient transition preservation
identity_lie_ideal,radical_quotient,radical Lie ideal identity,radical_ideal_coideal.csv,lie_ideal,equal left right and combined ranks for bracket stability,Radical quotient is not a Lie algebra without ideal stability,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no Lie ideal row supplied
identity_coproduct_coideal,radical_quotient,radical coproduct coideal identity,radical_ideal_coideal.csv,coproduct_coideal,equal left right and combined ranks for coproduct stability,Radical quotient is not a coalgebra quotient without coideal stability,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no coproduct coideal row supplied
relation_cartan,relations,Cartan relation rows,relation_rows.csv,cartan,finite rank or value check for Cartan relations,Recognition clause R2 requires Cartan rows,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no Cartan row supplied
relation_chevalley,relations,Chevalley relation rows,relation_rows.csv,chevalley,finite rank or value check for Chevalley relations,Recognition clause R2 requires Chevalley rows,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no Chevalley row supplied
relation_real_serre,relations,real Serre relation rows,relation_rows.csv,real_serre,finite terminal relation checks for real roots,Recognition clause R2 requires real Serre rows,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no real Serre row supplied
relation_borcherds_orthogonality,relations,Borcherds orthogonality rows,relation_rows.csv,borcherds_orthogonality,finite orthogonality checks for imaginary simple roots,Recognition clause R2 requires Borcherds orthogonality rows,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no Borcherds orthogonality row supplied
relation_super_sign,relations,super sign rows,relation_rows.csv,super_sign,finite sign compatibility checks for super bracket,Recognition clause R2 requires super sign rows,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:647,verified,no super sign row supplied
no_extra_kernel,recognition,no extra kernel equality,no_extra.csv,kernel_equality,equality of kernel rank relation radical rank and combined rank,Recognition clause R5 forbids hidden source relations,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:650,verified,no no extra row supplied
generation_span,recognition,generation by simple primitives,generation.csv,simple_generation,source rank equals bracket word span rank through allowed intermediates,Recognition clause R6 requires source generation,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:653,verified,no generation row supplied
pbw_associated_graded,recognition,PBW associated graded comparison,pbw.csv,associated_graded_rank,source graded rank target graded rank and comparison rank equality,Recognition clause R7 requires PBW associated graded equality,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/README.md:1,verified,no PBW row supplied; see transition_pbw_filtration_preservation obstruction packet for filtered transition preservation
strict_ml_transitions,recognition,strict transition and ML rows,transitions.csv,strict_pbw_and_ml,strict PBW status ML status and transition matrices,Recognition clause R8 requires strict inverse limit exactness,missing_open_obligation,certificates/hall/pbw_associated_graded_lim1_vanishing/README.md:1,verified,no transition row supplied; primitive-space R1lim is isolated in primitive_space_lim1_vanishing pairing-kernel R1lim is isolated in pairing_kernel_lim1_vanishing PBW associated-graded R1lim is isolated in pbw_associated_graded_lim1_vanishing and PBW filteredness is isolated in transition_pbw_filtration_preservation
a_beta_bracket,comparison,A beta bracket intertwining,a_beta_comparison_maps.csv,bracket,A entries intertwine source and target bracket blocks,Comparison map must be a Lie homomorphism after quotient,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:660,verified,no A beta bracket row supplied
a_beta_coproduct,comparison,A beta coproduct intertwining,a_beta_comparison_maps.csv,coproduct,A entries intertwine source and target coproduct blocks,Comparison must respect primitive coalgebra data,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:660,verified,no A beta coproduct row supplied
a_beta_pairing,comparison,A beta pairing intertwining,a_beta_comparison_maps.csv,pairing,A entries intertwine Hopf pairings,Comparison must respect radical pairing quotient,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:660,verified,no A beta pairing row supplied
a_beta_radical_quotient,comparison,A beta radical quotient intertwining,a_beta_comparison_maps.csv,radical_quotient,A entries intertwine radical quotient splittings,Comparison is defined after quotient by radical,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:660,verified,no A beta radical quotient row supplied
a_beta_pbw,comparison,A beta PBW intertwining,a_beta_comparison_maps.csv,pbw,A entries preserve PBW associated gradeds,Comparison must respect completed PBW filtration,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/README.md:1,verified,no A beta PBW row supplied; see transition_pbw_filtration_preservation obstruction packet for the PBW transition square
koszul_source_counit_cone,koszul,Koszul source bar cobar counit cone,koszul_cones.csv,source_bar_cobar_counit,cone matrix with zero cohomology rank,Current envelope statement requires source Koszul counit acyclicity,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no source Koszul cone supplied
koszul_quasi_isomorphism_cone,koszul,Koszul source to target quasi isomorphism cone,koszul_cones.csv,source_to_target_quasi_isomorphism,cone matrix with zero cohomology rank,Current envelope statement requires source to target quasi isomorphism,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no source target cone supplied
koszul_identity_weyl_action,koszul,Koszul Weyl action identity,koszul_comparison_identities.csv,weyl_action,zero defect rank for Weyl action compatibility,Koszul comparison must respect Weyl action,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Weyl action identity supplied
koszul_identity_pfaffian_orientation,koszul,Koszul Pfaffian orientation identity,koszul_comparison_identities.csv,pfaffian_orientation,zero defect rank for Pfaffian orientation compatibility,Koszul comparison must respect orientation character,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Pfaffian orientation identity supplied
koszul_identity_hall_product,koszul,Koszul Hall product identity,koszul_comparison_identities.csv,hall_product,zero defect rank for Hall product compatibility,Koszul comparison must respect Hall product,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Hall product identity supplied
koszul_identity_hall_coproduct,koszul,Koszul Hall coproduct identity,koszul_comparison_identities.csv,hall_coproduct,zero defect rank for Hall coproduct compatibility,Koszul comparison must respect Hall coproduct,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Hall coproduct identity supplied
koszul_identity_hopf_pairing,koszul,Koszul Hopf pairing identity,koszul_comparison_identities.csv,hopf_pairing,zero defect rank for Hopf pairing compatibility,Koszul comparison must respect Hopf pairing,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Hopf pairing identity supplied
koszul_identity_radical_quotient,koszul,Koszul radical quotient identity,koszul_comparison_identities.csv,radical_quotient,zero defect rank for radical quotient compatibility,Koszul comparison must respect radical quotient,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no radical quotient identity supplied
koszul_identity_pbw,koszul,Koszul PBW identity,koszul_comparison_identities.csv,pbw,zero defect rank for PBW compatibility,Koszul comparison must respect PBW filtration,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no PBW identity supplied
koszul_ml_source_cone,koszul,Koszul source cone ML,koszul_transition_ml.csv,source_cone,R1lim rank zero for source cone system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no source cone ML row supplied
koszul_ml_target_cone,koszul,Koszul target cone ML,koszul_transition_ml.csv,target_cone,R1lim rank zero for target cone system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no target cone ML row supplied
koszul_ml_weyl_action,koszul,Koszul Weyl action ML,koszul_transition_ml.csv,weyl_action,R1lim rank zero for Weyl action defect system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Weyl action ML row supplied
koszul_ml_pfaffian_orientation,koszul,Koszul Pfaffian orientation ML,koszul_transition_ml.csv,pfaffian_orientation,R1lim rank zero for orientation defect system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Pfaffian orientation ML row supplied
koszul_ml_hall_pairing,koszul,Koszul Hall pairing ML,koszul_transition_ml.csv,hall_pairing,R1lim rank zero for Hall pairing defect system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no Hall pairing ML row supplied
koszul_ml_radical_quotient,koszul,Koszul radical quotient ML,koszul_transition_ml.csv,radical_quotient,R1lim rank zero for radical quotient defect system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no radical quotient ML row supplied
koszul_ml_pbw,koszul,Koszul PBW ML,koszul_transition_ml.csv,pbw,R1lim rank zero for PBW defect system,Inverse limit requires ML exactness,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:593,verified,no PBW ML row supplied
