relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
delta123_norm,lattice_norm,-6,-6,0,compute/verify_square_root.py delta_pair,verified,delta123 has norm minus six
delta123_signed_dimension,signed_root_supermultiplicity,-64,-64,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,f11 equals minus sixty-four
monic_qrs_coefficient,product_coefficient,93,93,0,compute/verify_square_root.py monic_delta_qrs_coefficient,verified,coefficient of qrs after the leading monomial is ninety-three
additive_m_delta123,additive_correction,-93,-93,0,compute/verify_square_root.py additive_m_coefficient,verified,GN additive correction m(delta123) is minus ninety-three
real_real_real_dimension,free_lie_dimension,2,2,0,compute/verify_square_root.py free_lie_multidegree_dimension,verified,three Jacobi words have one relation
mixed_real_isotropic_count,mixed_word_count,27,27,0,type-II chamber isotropic packet,verified,three rays times nine GN directions
odd_imaginary_count,odd_generator_count,93,93,0,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple fibre rank
even_presentation_count,even_count,29,29,0,real-real-real plus mixed real-isotropic rows,verified,even presentation count is two plus twenty-seven
parity_difference,signed_difference,-64,-64,0,delta123_degree row,verified,twenty-nine minus ninety-three equals minus sixty-four
wle3_crosscheck,dependency_crosscheck,1,1,0,wle3 target parity packet,verified,decomposition agrees with W leq three target parity packet
chamber_isotropic_crosscheck,dependency_crosscheck,1,1,0,type-II chamber isotropic packet,verified,mixed directions agree with the twenty-seven GN isotropic direction rows
