obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
hall_coproduct_matrix,hall_coproduct,source Hall coproduct matrix,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,finite source coproduct constants in homogeneous bases,the reduced coproduct cannot be formed before Delta_R is supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_D_entries_supplied
unit_row,hall_coalgebra,unit row,certificates/sources/k3e_compact_hall/unit_counit.csv,unit,finite unit vector eta_R(1),the reduced coproduct subtracts eta_R(1) tensor x and x tensor eta_R(1),missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_unit_row_supplied
counit_row,hall_coalgebra,counit row,certificates/sources/k3e_compact_hall/unit_counit.csv,counit,finite counit matrix epsilon_R,the augmentation ideal I_R equals ker epsilon_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_counit_row_supplied
augmentation_ideal_basis,linear_algebra,augmentation ideal basis,primitive_kernel_rows.csv,augmentation_basis,basis for I_R equals ker epsilon_R,the kernel of bar_Delta_R is computed after choosing finite coordinates on I_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_augmentation_basis_supplied
reduced_coproduct_matrix,hall_coproduct,reduced coproduct matrix,primitive_kernel_rows.csv,reduced_coproduct_matrix,bar_D_R equals Delta_R minus eta epsilon tensor id minus id tensor eta epsilon,primitive space is ker bar_D_R not a raw rank count,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_reduced_coproduct_matrix_supplied
primitive_kernel_basis,primitive_kernel,primitive kernel basis,primitive_kernel_rows.csv,primitive_basis,finite basis for ker bar_Delta_R,this is the finite computation defining P_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_primitive_basis_supplied
primitive_inclusion_projection,primitive_projection,inclusion and projection rows,primitive_kernel_rows.csv,inclusion_projection,finite inclusion P_R into H_R and projection onto P_R,later recognition needs coordinates for the primitive summand not only an abstract kernel,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_inclusion_or_projection_rows_supplied
degree_parity_split,grading,degree and parity split,primitive_kernel_rows.csv,degree_parity,charge degree and cohomological parity of primitive basis vectors,recognition compares full parity dimensions and graded brackets,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,no_degree_or_parity_split_supplied
row350_bialgebra_rows,bialgebra,bialgebra identity rows,certificates/hall/finite_hall_bialgebra_compatibility/compatibility_rows.csv,bialgebra_identity,zero bialgebra compatibility defects needed for primitive closure,row353 only defines P_R and row354 must prove closure under commutator,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,row350_has_no_populated_compatibility_rows
no_hopf_shortcut,firewall,non-Hopf boundary,certificates/hall/finite_hall_nonhopf_boundary/manifest.json,hopf_firewall,primitive subspace definition does not supply an antipode,the word primitive does not promote a bialgebra to a Hopf algebra,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,row352_nonhopf_boundary_imported
