obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,additivity_status,proof_reference,check_status,notes
retained_extension_pairs,extension_pair,retained extension pair rows,extension_pairs.csv,extension_pair_row,left right and middle retained HN classes with extension row id,additivity is a statement about supplied retained extension rows not informal sums,missing_open_obligation,certificates/moduli/retained_extension_closure/extension_closure.csv:1,verified,no geometric degree extension-pair rows supplied
cycle_class_population,cycle_class,three retained one-cycle class rows,cycle_additivity_rows.csv,cycle_input_row,cyc_1(gamma_left) cyc_1(gamma_right) and cyc_1(gamma),cycle additivity cannot be checked without populated cycle classes,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_map/cycle_class_rows.csv:1,verified,no cycle class rows supplied
cycle_additivity_rows,cycle_class,additivity in N_1(K3xE),cycle_additivity_rows.csv,cycle_additivity_row,cycle_additivity_defect_rank=0,the proof uses additivity of ch_2 in K_0 or exact triangles,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:prop:geometric-elliptic-degree-additivity-criterion,verified,no cycle additivity rows supplied
proper_pushforward_rows,pushforward,pushforward rows for the three classes,pushforward_additivity_rows.csv,pushforward_input_row,(p_E)_*cyc_1 for left right and middle classes,pushforward additivity cannot be checked without the three pushforwards,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_map/pushforward_rows.csv:1,verified,no pushforward rows supplied
pushforward_additivity_rows,pushforward,linearity after proper pushforward,pushforward_additivity_rows.csv,pushforward_additivity_row,pushforward_additivity_defect_rank=0,proper pushforward must preserve the cycle equality,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:prop:geometric-elliptic-degree-additivity-criterion,verified,no pushforward additivity rows supplied
integer_degree_rows,degree,integer coefficient extraction for the three classes,degree_additivity_rows.csv,degree_input_row,coefficient of [E] for left right and middle pushforwards,the scalar degree equality is a coefficient equality in N_1(E)=ZZ[E],missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_map/pushforward_rows.csv:1,verified,no degree rows supplied
integer_degree_additivity_rows,degree,integer additivity row,degree_additivity_rows.csv,degree_additivity_row,degree_additivity_defect_rank=0,this is the row-202 equality for b_R^geom on retained extensions,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:prop:geometric-elliptic-degree-additivity-criterion,verified,no degree additivity rows supplied
transition_additivity_rows,transition,transition compatibility for additivity,transition_rows.csv,transition_additivity_row,transition_additivity_defect_rank=0,the pro-object needs additivity stable under R to Rprime transitions,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,no transition additivity rows supplied
extension_flag_stack_context,flag_stack,extension stack or exact-triangle context,extension_pairs.csv,extension_context_row,extension pair arises from a supplied exact sequence or distinguished triangle,retained word closure alone does not supply the geometric extension stack,missing_open_obligation,certificates/moduli/retained_extension_closure/manifest.json:1,verified,no extension stack rows supplied
degree_map_rows,degree_map,populated geometric degree map rows,extension_pairs.csv,degree_map_import_row,b_R^geom values come from the row-201 proper-pushforward degree definition,additivity cannot be certified against an empty degree-map packet,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_map/manifest.json:1,verified,row-201 packet remains definition-only
