relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
scalar_rigidifications_imported,input,1,1,0,retained E-translation rigidification packet,verified,scalar rigidifications are imported before E-translation quotient
universal_complexes_imported,input,1,1,0,retained E-translation rigidification packet,verified,universal complexes are imported before E-translation quotient
one_translation_rigidification_per_substack,row_count,3,3,0,retained E-translation rigidification packet,verified,one E-translation rigidification is supplied for each retained finite substack
elliptic_translation_actions_named,row_count,3,3,0,retained E-translation rigidification packet,verified,one named E-translation action is supplied for each retained finite substack
translations_removed,row_count,3,3,0,retained E-translation rigidification packet,verified,the elliptic translation action is removed on each retained row
free_actions_on_retained_rows,row_count,3,3,0,retained E-translation rigidification packet,verified,the translation action is free on each retained row
translation_defects_zero,row_count,3,3,0,retained E-translation rigidification packet,verified,translation-rigidification defects vanish
translation_rigidifications_mirrored,row_count,3,3,0,retained E-translation rigidification packet,verified,E-translation rigidification rows are mirrored into the finite-moduli scaffold
finite_inertia_stratifications_not_proved,firewall,1,1,0,retained E-translation rigidification packet,verified,E-translation rigidification does not construct finite closed inertia stratifications
finite_hall_stage_not_proved,firewall,1,1,0,retained E-translation rigidification packet,verified,E-translation rigidification does not construct the finite Hall stage
