firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace is not a transition identity for Hall comultiplication
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds product is a target denominator and not a compact Hall coproduct map
firewall_signed_multiplicities,signed_multiplicities,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,signed multiplicities do not construct splitting correspondences
firewall_target_bkm_coalgebra,target_bkm_coalgebra,true,0,chapters/04_view2_bkm.tex,verified,target Lie coalgebra or denominator data do not supply compact source Hall comultiplication
firewall_pfaffian_coproduct,pfaffian_coproduct,true,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,a Pfaffian operation is not the pull-push Hall coproduct
firewall_bar_coalgebra_deconcatenation,bar_coalgebra_deconcatenation,true,0,certificates/charge/bar_pushforward_commutation,verified,the formal bar deconcatenation coalgebra is not the compact Hall splitting correspondence
firewall_hall_product_preservation,hall_product_preservation,true,0,certificates/hall/transition_hall_product_preservation,verified,preservation of multiplication does not imply preservation of the coproduct
firewall_vanishing_cycle_transport_only,vanishing_cycle_transport_only,true,0,certificates/vanishing_cycles/transition_vanishing_cycle_preservation,verified,coefficient transport alone does not construct splitting correspondences
firewall_orientation_transport_only,orientation_transport_only,true,0,certificates/orientation/transition_orientation_preservation,verified,orientation transport alone does not construct Hall comultiplication
firewall_abstract_bialgebra_matrix,abstract_bialgebra_matrix,true,0,chapters/05_subsections/05_3_hall.tex,verified,an abstract coproduct matrix without geometric correspondence provenance is not a compact K3xE Hall row
