obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,preservation_status,proof_reference,check_status,notes
source_target_lambda_coordinates,finite_stabilizer,source_and_target_lambda_coordinates,finite_linearizations.csv,lambda_coordinate_row,lambda_vectors_in_H1_BH_bases,row_318_needs_actual_degree_one_characters_not_only_group_type,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_288_lambda_values_absent
stabilizer_isomorphism,weyl_transport,source_target_stabilizer_isomorphism,weyl_lifts.csv,stabilizer_isomorphism_row,phi_i_R_S_between_H_source_and_H_target,Weyl_preservation_of_lambda_requires_group_identification,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_306_stabilizer_transport_absent
h1_bh_transport_matrix,weyl_transport,induced_H1_BH_matrix,weyl_lifts.csv,h1_bh_matrix_row,N_i_R_S_on_H1_BH,coordinate_defect_cannot_be_formed_without_degree_one_transport_matrix,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,no_H1_BH_matrix_supplied
orientation_line_action_transport,finite_stabilizer,orientation_line_action_transport,preservation_rows.csv,action_transport_row,transport_of_source_sign_action_to_target_sign_action,strict_linearization_preservation_needs_action_level_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,no_action_transport_defect_row_supplied
coordinate_defect_vector,linear_algebra,H1_BH_coordinate_defect_vector,preservation_rows.csv,coordinate_defect_vector_id,N_times_source_lambda_minus_target_lambda,row_318_proof_starts_with_this_coordinate_defect,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,no_coordinate_defect_vector_supplied
zero_vector_row,linear_algebra,zero_coordinate_row,preservation_rows.csv,coordinate_defect_rank,rank_of_coordinate_defect_equals_zero,this_is_the_row_318_class_preservation_proof,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,no_zero_vector_row_supplied
all_retained_wall_coverage,coverage,retained_wall_coverage,preservation_rows.csv,coverage_row,every_retained_i_R_S_checked,O1_plus_requires_all_retained_walls_not_one_sample,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,no_coverage_rows_supplied
row288_completion,dependency,row_288_lambda_complete,certificates/orientation/rhomred_finite_stabilizer_linearization_character/manifest.json,all_retained_lambda_computed_true,actual_lambda_H_coordinates,row_318_depends_on_actual_finite_stabilizer_lambda_values,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_288_manifest_has_all_retained_lambda_computed_false
row289_vanishing,dependency,row_289_lambda_vanishing,certificates/orientation/rhomred_finite_stabilizer_linearization_vanishing/manifest.json,all_retained_lambda_vanishing_verified_true,lambda_H_zero_rows,row_318_preserves_the_zero_linearization_only_after_zero_rows_exist,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_289_manifest_has_vanishing_false
row306_tau_transport,dependency,row_306_tau_constructed,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,tau_transport_constructed_true,tau_i_finite_stabilizer_transport,Weyl_preservation_has_no_source_map_without_tau_i,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_306_manifest_has_tau_transport_constructed_false
row317_beta_preservation,dependency,row_317_beta_preservation,certificates/orientation/rhomred_weyl_finite_stabilizer_beta_preservation/manifest.json,finite_stabilizer_beta_preservation_proved_true,beta_H_component_preserved,componentwise_orientation_transport_requires_prior_degree_two_finite_stabilizer_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_317_manifest_has_preservation_false
row319_separation,scope,next_orientation_character,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_319,orientation_character_definition_after_lambda_transport,row_319_does_not_prove_row_318,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,next_component_kept_separate
