firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_filteredness_only,filteredness_only,true,0,certificates/hall/transition_pbw_filtration_preservation,verified,filtered transition maps do not prove associated-graded image stabilization
firewall_associated_graded_matrix_only,associated_graded_matrix_only,true,0,certificates/hall/transition_pbw_filtration_preservation/associated_graded_transition.csv,verified,a pointwise associated-graded matrix is not an ML witness
firewall_rank_equality_only,rank_equality_only,true,0,certificates/sources/k3e_compact_hall/pbw.csv,verified,rank equality does not compute R1lim of PBW associated-graded towers
firewall_hilbert_series_only,hilbert_series_only,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,Hilbert series do not supply transition image bases
firewall_target_pbw_table,target_pbw_table,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,target PBW rows do not supply source associated-graded image stabilization
firewall_pbw_pushforward_only,pbw_pushforward_only,true,0,certificates/charge/pbw_pushforward,verified,formal PBW pushforward is not a compact-source associated-graded ML tower
firewall_bar_length_filtration,bar_length_filtration,true,0,chapters/05_subsections/05_5_koszul.tex,verified,bar length filtration is not the PBW associated-graded tower unless comparison rows are supplied
firewall_normal_ordered_degree_map,normal_ordered_degree_map,true,0,certificates/charge/k3e_charge_window,verified,normal-ordered degree data do not construct PBW graded transition images
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds denominator product is a target identity not a PBW ML witness
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace does not compute R1lim of PBW associated gradeds
firewall_protected_trace,protected_trace,true,0,certificates/trace/k3e_protected_trace,verified,protected traces are scalar shadows not PBW associated-graded image data
firewall_primitive_space_ml_only,primitive_space_ml_only,true,0,certificates/hall/primitive_space_lim1_vanishing,verified,primitive-space ML does not prove PBW associated-graded ML after enveloping
firewall_pairing_kernel_ml_only,pairing_kernel_ml_only,true,0,certificates/hall/pairing_kernel_lim1_vanishing,verified,pairing-kernel ML does not prove PBW associated-graded ML
firewall_radical_transition_only,radical_transition_only,true,0,certificates/hall/transition_radical_preservation,verified,radical transition maps do not construct PBW associated-graded stable images
firewall_empty_ml_status,empty_ml_status,true,0,certificates/sources/k3e_compact_hall/transitions.csv,verified,a header-only transition table proves no R1lim vanishing
