firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace is not a PBW filtered transition identity
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds product is a target denominator and not a compact source PBW transition map
firewall_signed_multiplicities,signed_multiplicities,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,signed multiplicities do not give ordered word bases or filtered transition matrices
firewall_target_pbw_table,target_pbw_table,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,target PBW rows alone do not supply compact source PBW filtrations or transitions
firewall_pbw_rank_equality_only,pbw_rank_equality_only,true,0,certificates/sources/k3e_compact_hall/pbw.csv,verified,rank equality without filtered maps and symbol squares does not prove PBW transition preservation
firewall_pbw_pushforward_only,pbw_pushforward_only,true,0,certificates/charge/pbw_pushforward,verified,formal additive pushforward of a supplied filtration is not the compact source PBW comparison
firewall_primitive_transition_only,primitive_transition_only,true,0,certificates/hall/transition_primitive_subspace_preservation,verified,primitive transition preservation does not imply filtered preservation of enveloping algebra words
firewall_radical_transition_only,radical_transition_only,true,0,certificates/hall/transition_radical_preservation,verified,radical quotient preservation does not supply ordered PBW words or associated graded maps
firewall_hilbert_series_only,hilbert_series_only,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,Hilbert series data do not define filtered transition matrices
firewall_abstract_associated_graded_matrix,abstract_associated_graded_matrix,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,an associated graded matrix without relation rewrite and compact-source provenance is not a PBW transition row
firewall_bar_length_filtration,bar_length_filtration,true,0,appendices/F_finite_constructions.tex,verified,the bar-length filtration of the Koszul source is not the PBW filtration on the primitive enveloping algebra
firewall_normal_ordered_degree_map,normal_ordered_degree_map,true,0,certificates/charge/pbw_pushforward,verified,normal-ordered degree preservation does not prove PBW strictness under cofinal transitions
