obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,hall_product_descent_status,proof_reference,check_status,notes
quotient_orientation_rows,orientation,descended_quotient_orientation_rows,quotient_borel.csv,quotient_orientation,o_C_mod_E_with_quotient_cocycle_trivialized,product_descent_needs_the_orientation_line_to_descend_on_inputs_extension_and_output,missing_open_obligation,certificates/orientation/rhomred_orientation_e_quotient_descent/blocked_obligations.csv,verified,no_quotient_orientation_rows_supplied
extension_cocycle_comparison,orientation,product_cocycle_comparison,quotient_borel.csv,extension_flag_transport,p_star_q_c_q_cprime_equals_q_star_q_sum,Hall_product_descent_is_a_Picard_groupoid_equality_on_the_extension_stack,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,no_product_cocycle_comparison_row_supplied
oriented_ts_isomorphism,multiplicativity,oriented_Thom_Sebastiani_row,ts_multiplicativity.csv,coefficient_transport,TS_Phi_tensor_o_equals_TS_Phi_tensor_TS_o,Hall_product_uses_oriented_coefficient_system_not_orientation_line_alone,missing_open_obligation,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/blocked_obligations.csv,verified,no_oriented_TS_row_supplied
determinant_square_compatibility,multiplicativity,determinant_square_compatibility,ts_multiplicativity.csv,determinant_square_diagram,(TS_o)^tensor2_equals_det_TS,orientation_product_descent_requires_the_TS_orientation_to_be_a_square_root,missing_open_obligation,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/blocked_obligations.csv,verified,no_determinant_square_diagram_supplied
two_step_flag_pentagon,multiplicativity,two_step_flag_TS_pentagon,ts_multiplicativity.csv,pentagon_defect,pentagon_defect_rank_zero,associativity_after_quotient_requires_product_descent_on_flag_stacks,missing_open_obligation,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/blocked_obligations.csv,verified,no_orientation_pentagon_row_supplied
source_hall_product_row,hall_product,compact_Hall_product_matrix,M_entries.csv,product_matrix,finite_source_product_constants_with_geometric_correspondence_ids,row_303_needs_a_supplied_binary_Hall_product_row_not_only_a_formal_comparison,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_M_entries_supplied
operation_descent_interface,quotient_after_correspondence,operation_descent_interface,operation_descent_rows.csv,operation_descent_row,input_middle_target_and_external_product_descent,theta_mu_applies_only_to_operation_rows_with_descent_interfaces,missing_open_obligation,certificates/hybrid/quotient_after_correspondence_theta_mu_comparison/operation_descent_rows.csv,verified,available_conditionally_not_tied_to_orientation_rows
compact_support_pushforward_descent,six_functor,compact_support_pushforward_descent,pushforward_descent_rows.csv,pushforward_descent_row,delta_q_e_for_the_retained_product_correspondence,Hall_product_descent_uses_q_bang_not_a_scalar_pushforward,missing_open_obligation,certificates/hybrid/quotient_after_correspondence_theta_mu_comparison/pushforward_descent_rows.csv,verified,theta_mu_supplies_conditional_row_but_not_orientation_data
transition_compatibility,transition,Hall_product_transition_compatibility,transition_defects.csv,hall_product_transition,transition_product_defect_rank_zero,pro_object_Hall_product_requires_transition_compatibility_after_quotient,missing_open_obligation,certificates/hall/transition_hall_product_preservation/blocked_obligations.csv,verified,transition_product_tables_empty
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,Hall_product_coefficients_are_Phi_red_tensor_o_not_orientation_only,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,orientation_product_descent_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
