relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
semistable_substacks_imported,input,1,1,0,retained universal-complex packet,verified,retained finite substacks are imported
class_bounds_imported,input,1,1,0,retained universal-complex packet,verified,retained class-bound rows are imported
derived_enhancements_imported,input,1,1,0,retained universal-complex packet,verified,retained derived enhancements are imported
scalar_rigidifications_imported,input,1,1,0,retained universal-complex packet,verified,scalar rigidifications are imported for descent
one_universal_complex_per_substack,row_count,3,3,0,retained universal-complex packet,verified,one universal perfect complex is supplied for each retained finite substack
base_change_rows_defined,row_count,3,3,0,retained universal-complex packet,verified,one base-change row is supplied for each universal complex
tor_amplitudes_finite,row_count,3,3,0,retained universal-complex packet,verified,Tor amplitude is finite for each universal complex
descent_defects_zero,row_count,3,3,0,retained universal-complex packet,verified,descent defects vanish for all retained universal complexes
perfection_defects_zero,row_count,3,3,0,retained universal-complex packet,verified,perfection defects vanish for all retained universal complexes
universal_complexes_mirrored,input,1,1,0,retained universal-complex packet,verified,finite-moduli universal_complexes rows mirror the retained universal-complex packet
finite_inertia_stratifications_not_proved,firewall,1,1,0,retained universal-complex packet,verified,universal complexes do not construct finite closed inertia stratifications
finite_hall_stage_not_proved,firewall,1,1,0,retained universal-complex packet,verified,universal complexes do not construct the finite Hall stage
