obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,cocycle_status,proof_reference,check_status,notes
partial_action_groupoid_rows,groupoid,populated_partial_action_groupoid,groupoid_object_rows.csv;groupoid_arrow_rows.csv;groupoid_composition_rows.csv,groupoid_rows,objects_arrows_identities_inverses_and_partial_composition,c_o_R_is_defined_on_composable_pairs_in_G_R,missing_open_obligation,certificates/orientation/rhomred_weyl_partial_action_groupoid/blocked_obligations.csv,verified,row_308_groupoid_rows_absent
weyl_lift_rows,weyl_transport,supplied_Weyl_lifts,weyl_lifts.csv,lift_matrix_id,tau_g_tau_h_and_tau_hg_lift_rows,c_o_R_compares_composition_of_lifts_with_the_lift_of_the_composite,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/weyl_lifts.csv,verified,no_weyl_lift_rows_supplied
coefficient_fibre_rows,local_system,coefficient_fibre_identifications,groupoid_object_rows.csv,coefficient_fibre,Aut_of_full_quotient_orientation_package_identified_at_source_object,the_cocycle_values_live_in_local_coefficients_not_automatically_constant_F2,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-projective-cocycle-coR,verified,no_coefficient_fibre_rows_supplied
composable_pair_rows,groupoid,composable_pair_table,composable_pair_rows.csv,composable_pair_row,S_to_T_to_U_and_composite_hg,finite_cocycle_values_are_indexed_by_composable_pairs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-projective-cocycle-coR,verified,no_pair_rows_supplied
cocycle_value_rows,cocycle,cocycle_value_table,cocycle_value_rows.csv,cocycle_value,c_o_R_h_g_S_value_from_g_star_tau_h_tau_g_vs_tau_hg,row_309_requires_finite_values_not_only_a_formula,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-projective-cocycle-coR,verified,no_cocycle_value_rows_supplied
normalization_rows,cocycle,identity_normalization_rows,cocycle_normalization_rows.csv,normalization,c_o_R_g_id_and_c_o_R_id_g_equal_zero,normalized_groupoid_cocycle_requires_identity_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-projective-cocycle-coR,verified,no_normalization_rows_supplied
cocycle_defect_rows,cocycle,cocycle_condition_rows,cocycle_defect_rows.csv,cocycle_defect,dc_o_R_equals_zero_on_composable_triples,a_2_cocycle_requires_zero_coboundary_not_only_values,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_cocycle_defect_rows_supplied
cohomology_vanishing_later,cohomology,cocycle_class_vanishing,coxeter_cocycles.csv,cohomology_class_zero,[c_o_R]=0_is_row_310_not_row_309,row_309_defines_c_o_R_before_vanishing,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1468,verified,row_310_left_separate
cochain_later,cohomology,one_cochain_trivialization,coxeter_cocycles.csv,cochain_trivialization,one_cochain_killing_c_o_R_is_row_311,row_309_does_not_construct_a_cochain,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1474,verified,row_311_left_separate
no_target_coxeter_substitution,firewall,scalar_or_target_firewall,scalar_firewall.csv,target_coxeter_substitution_excluded,excludes_target_Coxeter_graph_Maass_character_and_group_cohomology_without_G_R,prevents_target_rows_from_being_read_as_source_orientation_cocycle,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:orientation-projective-cocycle-coR,verified,firewall_rows_supplied_but_cocycle_absent
