relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
base_rational_stability_named,definition,1,1,0,Liu product-stability definition packet,verified,base rational K3 stability condition is named
ap_heart_membership_formula,definition,1,1,0,Liu product-stability definition packet,verified,AP heart membership formula is recorded
polynomial_linear_on_curve,definition,1,1,0,Liu product-stability definition packet,verified,curve factor gives a linear polynomial
coefficient_functionals_named,definition,4,4,0,Liu product-stability definition packet,verified,a b c d are the four coefficient homomorphisms
weak_charge_zt_named,definition,1,1,0,Liu product-stability definition packet,verified,weak charge Z_t is recorded
nu_t_slope_named,definition,1,1,0,Liu product-stability definition packet,verified,slope nu_t is recorded
torsion_pair_named,definition,2,2,0,Liu product-stability definition packet,verified,torsion and free halves are recorded
tilted_heart_named,definition,1,1,0,Liu product-stability definition packet,verified,tilted heart is recorded
product_central_charge_named,definition,1,1,0,Liu product-stability definition packet,verified,product central charge is recorded
sigma_st_defined,definition,1,1,0,Liu product-stability definition packet,verified,sigma_{s;t} is defined
ap_compatibility_not_proved,firewall,1,1,0,Liu product-stability definition packet,verified,AP compatibility is item 166
finite_moduli_not_proved,firewall,1,1,0,Liu product-stability definition packet,verified,finite moduli require later stack rows
