obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_trace_functional,trace,source_trace_functional,trace_degree_rows.csv,trace_functional,trace_map_from_reduced_radical_quotient_to_orientation_trace_line,Frobenius_trace_degree_cannot_be_checked_without_a_source_trace_map,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_source_trace_functional_row_supplied
source_trace_degree_row,trace,source_trace_degree_row,trace_degree_rows.csv,trace_degree,computed_trace_degree_equals_minus_3_with_zero_defect,row336_is_the_degree_computation_itself,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_trace_degree_row_supplied
trace_pairing_identity,trace,trace_pairing_identity,trace_degree_rows.csv,trace_pairing_identity,angle_xy_equals_trace_xy_with_orientation_signs,trace_degree_must_be_the_degree_of_the_Frobenius_pairing_not_an_unrelated_trace,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_trace_pairing_identity_row_supplied
trace_cyclicity_identity,trace,trace_cyclicity_identity,trace_degree_rows.csv,trace_cyclicity,trace_xy_equals_signed_trace_yx_zero_defect,Frobenius_trace_must_be_cyclic_for_homogeneous_classes,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_trace_cyclicity_row_supplied
source_degree_convention,grading,source_degree_convention_row,trace_degree_rows.csv,degree_convention,cohomological_parity_orientation_and_Serre_shift_conventions,degree_minus_3_is_meaningless_without_the_source_grading_convention,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_source_degree_convention_row_supplied
orientation_trace_line,orientation_line,orientation_trace_line,trace_degree_rows.csv,trace_line,Picard_groupoid_trace_line_and_shift,orientation_trace_degree_is_a_line_level_statement_not_a_scalar_monomial,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_orientation_trace_line_row_supplied
serre_shift_line,serre_duality,CY3_Serre_shift_line,trace_degree_rows.csv,serre_shift,Calabi_Yau_threefold_Serre_shift_contribution_minus_3,the_degree_minus_3_is_the_CY3_trace_shift_and_must_be_supplied_at_source_level,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_Serre_shift_row_supplied
source_product_for_trace,hall_bialgebra,source_product_matrix,M_entries.csv,product_matrix,source_product_entering_trace_xy,trace_pairing_identity_uses_source_product_not_target_monomial_multiplication,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_M_entries_supplied
source_pairing_for_trace,hopf_pairing,source_Hopf_pairing_matrix,G_entries.csv,G_entry,source_pairing_compared_with_trace_of_product,trace_degree_must_match_the_source_Frobenius_pairing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_G_entries_supplied
radical_quotient_for_trace,radical,radical_and_quotient_rows,K_entries.csv,radical_quotient,radical_kernel_and_quotient_splitting_rows,trace_degree_is_on_the_reduced_radical_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_radical_or_quotient_rows_supplied
quotient_orientation_transport,orientation,quotient_orientation_transport,trace_degree_rows.csv,quotient_orientation_transport,quotient_nulltrivialisations_preserve_trace_line_and_degree,O1_descent_must_transport_the_trace_line_to_the_reduced_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_quotient_orientation_transport_row_supplied
trace_transition_compatibility,transition,trace_transition_rows,trace_degree_rows.csv,trace_transition,finite_stage_transitions_preserve_trace_functional_degree_and_pairing_identity,pro_object_trace_degree_requires_stage_independent_transition_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_trace_transition_row_supplied
orientation_transition_compatibility,transition,orientation_transition_rows,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,orientation_transition,Picard_groupoid_orientation_transport_preserves_trace_degree,trace_degree_requires_transition_compatible_orientation_lines,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_orientation_transition_rows_supplied
protected_trace_not_source_trace,trace,level_Z_trace_functor_rows,certificates/trace/k3e_protected_trace/protected_trace_functors.csv,protected_trace_functor,level_Z_trace_functor_and_degree_variable,scalar_level_trace_is_not_the_source_Frobenius_trace_degree_even_when_supplied,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,no_protected_trace_functor_rows_supplied
row337_serre_signs,orientation,row_337_CY3_Serre_signs,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_337,prove_signs_agree_with_CY3_Serre_duality,row336_uses_the_Serre_shift_but_does_not_compute_the_signs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,row337_kept_separate

