obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,beta_status,proof_reference,check_status,notes
finite_closed_inertia_stratification,moduli,finite_closed_inertia_strata,finite_inertia_strata.csv,stratum_row,S_with_stabilizer_H,finite_stabilizer_beta_is_computed_on_a_finite_inertia_stratum,missing_open_obligation,certificates/moduli/retained_rigidification_inertia/manifest.json,verified,residual_finiteness_packet_does_not_construct_finite_closed_inertia_stratifications
finite_stabilizer_orientation_row,finite_stabilizer,finite_stabilizer_orientation_row,finite_stabilizers.csv,beta_row,H_type_and_beta_edge_payload,row_285_requires_an_orientation_row_not_only_group_input,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/finite_stabilizers.csv,verified,no_finite_stabilizer_rows_supplied
equivariant_beta_representative,finite_stabilizer,Cech_Borel_beta_representative,beta_representatives.csv,tilde_beta_row,w2_H_of_reduced_determinant_complex,need_equivariant_class_before_classifying_space_edge,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_tilde_beta_representative_supplied
edge_reduction,finite_stabilizer,Borel_edge_reduction,finite_stabilizers.csv,edge_reduction_row,ordinary_mixed_and_incoming_differentials_accounted,row_285_needs_classifying_space_edge_reduction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_edge_reduction_row_supplied
odd_transfer_edge_row,finite_stabilizer,odd_transfer_or_trivial_group_row,finite_stabilizers.csv,odd_transfer_row,H_positive_degree_zero_after_edge_reduction,odd_or_trivial_group_cohomology_applies_only_after_edge_row,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_odd_or_trivial_edge_row_supplied
klein_four_coefficients,finite_stabilizer,Klein_four_beta_coefficients,finite_stabilizers.csv,klein_four_b20_b11_b02,b20_b11_b02_or_r1_r2_r3,row_285_needs_E2_quadratic_coefficients_if_H_equals_E2,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_klein_four_coefficient_row_supplied
two_primary_coefficients,finite_stabilizer,two_primary_beta_coefficients,finite_stabilizers.csv,two_primary_A1_A12_A2,A1_A12_A2_with_rank_two_A12,row_285_needs_A12_not_cyclic_only_restrictions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_two_primary_coefficient_row_supplied
beta_value,row_285,computed_beta_value,beta_values.csv,beta_value_row,beta_H_in_H2_BH_F2,row_285_is_open_until_the_edge_class_value_is_recorded,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_beta_value_row_supplied
beta_vanishing,row_286,beta_zero_statement,beta_vanishing_rows.csv,beta_zero_row,beta_H_equals_zero_for_every_retained_H,row_286_is_later_than_computation,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1369,verified,no_beta_vanishing_row_supplied
beta_null_trivialization,row_287,beta_null_trivialization,beta_nulltrivialization_rows.csv,cochain_row,compatible_null_trivializations_under_subgroup_restriction,row_287_is_stronger_than_row_285,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1374,verified,no_beta_null_trivialization_row_supplied
linearization_character,row_288,finite_stabilizer_linearization,finite_linearization_rows.csv,lambda_row,lambda_H_in_H1_BH_F2,linearization_is_independent_of_beta_class_computation,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1381,verified,no_linearization_row_supplied
transition_compatibility,O1,successor_transport,transitions.csv,finite_stabilizer_transition_row,beta_edge_transport_under_successors,O1_needs_compatible_finite_stabilizer_data,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,no_transition_row_supplied
vanishing_cycle_complex,O1,BBDJS_complex,vanishing_cycles.csv,finite_stabilizer_orientation_payload,reduced_vanishing_cycle_coefficients,orientation_data_needed_before_vanishing_cycles,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,no_vanishing_cycle_row_supplied
protected_integration,O1,protected_integral,protected_integration.csv,finite_stabilizer_orientation_payload,protected_trace_after_orientation,scalar_shadow_requires_orientation_data,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_row_supplied
