obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,first_window_status,proof_reference,check_status,notes
window_downward_saturated,window,compact-source relation-closed degree window,window_closure.csv,downward_saturated,boolean true with height bound and window identifiers,primitive recognition requires every lower root needed by brackets and Serre reductions,missing_open_obligation,Appendix F finite relation closed window packet,verified,target height windows are supplied separately; empty window_closure table supplies no compact-source relation-closed window row
window_relation_closed,window,relation closed finite degree window,window_closure.csv,relation_closed,boolean true with relation closure proof reference,the first test must contain all degrees appearing in the defining BKM relations,missing_open_obligation,Appendix F finite relation closed window packet,verified,target closure alone is not a source theorem
window_active_exhaustive,window,active exhaustive finite source window,window_closure.csv,active_exhaustive,boolean true with compact support exhaustion statement,the source degrees must exhaust the compact representatives used in the finite comparison,missing_open_obligation,Appendix F finite relation closed window packet,verified,target-root exhaustion is supplied separately and source-window compact-support obstruction ledger records the missing rows; no compact-source support exhaustion row is supplied
window_target_admissible,window,target admissibility for the finite window,window_closure.csv,target_admissible,boolean true with target degree audit,the finite source comparison needs a target window carrying parity and relation data,missing_open_obligation,Proposition prop:target-admissibility-obstruction-wrel,verified,target admissibility is obstructed beyond the audited target rows
window_source_admissible,window,source admissibility for compact representatives,window_closure.csv,source_admissible,boolean true with compact provenance rule,source admissibility prevents target labels from becoming source vectors by notation,missing_open_obligation,Appendix F finite relation closed window packet,verified,no source admissibility row is supplied
window_closure_defect,window,zero closure defect,window_closure.csv,closure_defect_zero,integer closure_defect_rank equal to 0,relation closure must be exact before kernel equality can be stated,missing_open_obligation,Appendix F finite relation closed window packet,verified,no closure defect computation is supplied
window_signed_only_defect,window,zero signed only defect,window_closure.csv,signed_only_defect_zero,integer signed_only_defect_rank equal to 0,signed dimensions do not determine parity bracket radical or PBW data,missing_open_obligation,Lemma lem:first-window-scalar-exclusions,verified,no signed only defect computation is supplied
representative_source_basis,representatives,compact source representative basis,target_source_representatives.csv,source_cycle,source_cycle_id for each target degree,primitive recognition compares source primitives not target names,missing_open_obligation,Appendix F finite relation closed window packet,verified,no source cycle rows are supplied
representative_compact_provenance,representatives,compact geometric provenance,target_source_representatives.csv,compact_provenance,compact_provenance_id for each source cycle,arbitrary matrices and target labels are excluded without compact provenance,missing_open_obligation,Lemma lem:first-window-scalar-exclusions,verified,no compact provenance rows are supplied
representative_full_parity,representatives,full even odd parity ranks,target_source_representatives.csv,even_odd_parity,target_even target_odd source_even source_odd ranks,full parity not signed dimension is required for Lie superalgebra recognition,missing_open_obligation,Appendix F finite relation closed window packet,verified,no parity representative rows are supplied
representative_rank_equality,representatives,source target parity rank equality,target_source_representatives.csv,source_target_rank_equality,equality of source and target even and odd ranks,the finite comparison must match parity dimensions before brackets are tested,missing_open_obligation,Appendix F finite relation closed window packet,verified,no rank equality rows are supplied
representative_parity_defect,representatives,zero representative parity defect,target_source_representatives.csv,parity_defect_zero,integer parity_defect_rank equal to 0,a wrong parity lift has the same signed dimension and wrong superalgebra,missing_open_obligation,Appendix F finite relation closed window packet,verified,no parity defect computation is supplied
relation_cartan,relations,Cartan relation matrix,chevalley_serre_matrices.csv,cartan,matrix_id with zero relation_defect_rank,the BKM presentation requires Cartan action in the source quotient,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Cartan source matrix is supplied
relation_chevalley,relations,Chevalley relation matrix,chevalley_serre_matrices.csv,chevalley,matrix_id with source and target ranks,the source must carry Chevalley brackets rather than signed dimensions,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Chevalley source matrix is supplied
relation_real_serre,relations,real Serre relation matrix,chevalley_serre_matrices.csv,real_serre,serre_exponent and matrix_id with zero defect,real root strings must satisfy the Serre relations in the compact source,missing_open_obligation,Appendix F finite relation closed window packet,verified,no real Serre source matrix is supplied
relation_borcherds_orthogonality,relations,Borcherds orthogonality matrix,chevalley_serre_matrices.csv,borcherds_orthogonality,matrix_id for orthogonal imaginary simple roots,Borcherds relations are part of the target kernel not a denominator scalar,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Borcherds orthogonality source matrix is supplied
relation_super_sign,relations,super sign matrix,chevalley_serre_matrices.csv,super_sign,matrix_id recording parity signs,the Lie superalgebra bracket depends on signs not only dimensions,missing_open_obligation,Appendix F finite relation closed window packet,verified,no super sign source matrix is supplied
relation_rank_equality,relations,source target relation rank equality,chevalley_serre_matrices.csv,source_target_rank_equality,source_rank equals target_rank for each relation,rowwise rank agreement is needed before kernel comparison,missing_open_obligation,Appendix F finite relation closed window packet,verified,no relation rank equality rows are supplied
relation_defect,relations,zero relation defect,chevalley_serre_matrices.csv,relation_defect_zero,integer relation_defect_rank equal to 0,defective relation matrices do not prove presentation equality,missing_open_obligation,Appendix F finite relation closed window packet,verified,no relation defect computation is supplied
boundary_complex_terms,hall_boundary,Hall Chevalley complex terms,hall_boundary_complex.csv,c0_c1_c2_terms,c0 c1 c2 ranks with degree and filtration,the spectral sequence needs an actual chain complex,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Hall boundary complex terms are supplied
boundary_d1_matrix,hall_boundary,Hall boundary differential,hall_boundary_complex.csv,d1_matrix,d1_matrix_id with filtration and degree,the E1 differential is the Hall boundary not a formal arrow,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Hall boundary differential is supplied
boundary_d1_square,hall_boundary,zero square of Hall boundary,hall_boundary_complex.csv,d1_square_zero,integer d1_square_rank equal to 0,a boundary complex is not defined until d1 squared is zero,missing_open_obligation,Appendix F finite relation closed window packet,verified,no d1 square computation is supplied
boundary_serre_defect,hall_boundary,zero Serre boundary defect,hall_boundary_complex.csv,serre_boundary_defect_zero,integer serre_boundary_defect_rank equal to 0,the boundary quotient must identify the Serre rows correctly,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Serre boundary defect computation is supplied
spectral_ranks,spectral_sequence,finite window spectral ranks,spectral_sequence.csv,e1_e2_einf_ranks,e1 e2 and einf ranks,the recognition proof needs a finite spectral sequence with computed pages,missing_open_obligation,Appendix F finite relation closed window packet,verified,no spectral ranks are supplied
spectral_d1_defect,spectral_sequence,zero d1 spectral defect,spectral_sequence.csv,d1_defect_zero,integer d1_defect_rank equal to 0,the E2 page must be the Hall boundary quotient,missing_open_obligation,Appendix F finite relation closed window packet,verified,no d1 spectral defect computation is supplied
spectral_higher_differentials,spectral_sequence,vanishing higher differentials,spectral_sequence.csv,higher_differentials_zero,integer higher_differential_rank equal to 0,strong recognition fails if higher differentials remove or add classes,missing_open_obligation,Appendix F finite relation closed window packet,verified,no higher differential computation is supplied
spectral_strong_convergence,spectral_sequence,strong convergence in the finite window,spectral_sequence.csv,strong_convergence,strong_convergence_verified with zero defect,the spectral sequence must abut to the finite primitive quotient,missing_open_obligation,Appendix F finite relation closed window packet,verified,no strong convergence row is supplied
kernel_presentation_matrix,kernel,presentation matrix for source relations,kernel_matrices.csv,presentation_matrix,presentation_matrix_id with source presentation data,kernel equality is a matrix theorem not a scalar identity,missing_open_obligation,Appendix F finite relation closed window packet,verified,no presentation matrix is supplied
kernel_basis,kernel,computed kernel basis,kernel_matrices.csv,kernel_basis,kernel_basis_id with computed_kernel_rank,no extra theorem requires an explicit kernel basis,missing_open_obligation,Appendix F finite relation closed window packet,verified,no kernel basis row is supplied
kernel_gn_rank,kernel,GN Kac kernel rank comparison,kernel_matrices.csv,gn_kernel_rank,computed_kernel_rank equals gn_kernel_rank,target kernel rank must match the source kernel rank in the window,missing_open_obligation,Appendix F finite relation closed window packet,verified,no GN rank comparison is supplied
kernel_radical_rank,kernel,Hopf radical rank in the window,kernel_matrices.csv,radical_rank,radical_rank with kernel basis bridge,the quotient by the Hopf radical is structural in recognition,missing_open_obligation,Appendix F finite relation closed window packet,verified,no radical rank row is supplied
kernel_equality,kernel,zero kernel equality defect,kernel_matrices.csv,kernel_equality_defect_zero,integer kernel_equality_defect_rank equal to 0,the first proof target is kernel equality with the BKM plus GN radical ideal,missing_open_obligation,Appendix F finite relation closed window packet,verified,no kernel equality computation is supplied
kernel_no_extra,kernel,zero no extra source defect,kernel_matrices.csv,no_extra_defect_zero,integer no_extra_defect_rank equal to 0,extra source generators destroy primitive recognition,missing_open_obligation,Appendix F finite relation closed window packet,verified,no no-extra computation is supplied
pbw_source_rank,pbw,source PBW rank,pbw_graded.csv,source_pbw_rank,source_pbw_rank for each degree,PBW must be checked on the source associated graded,missing_open_obligation,Appendix F finite relation closed window packet,verified,no source PBW rank row is supplied
pbw_target_rank,pbw,target PBW rank,pbw_graded.csv,target_pbw_rank,target_pbw_rank for each degree,target PBW alone is not enough but is a comparison input,missing_open_obligation,Appendix F finite relation closed window packet,verified,no target PBW comparison row is supplied
