firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_finite_rank_only,finite_rank_only,true,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,finite rank of each stage does not prove image stabilization
firewall_dimension_equality_only,dimension_equality_only,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,equality of source and target dimensions does not compute R1lim
firewall_transition_preservation_only,transition_preservation_only,true,0,certificates/hall/transition_primitive_subspace_preservation,verified,transition preservation gives maps but not stable images
firewall_primitive_kernel_rows_only,primitive_kernel_rows_only,true,0,certificates/hall/transition_primitive_subspace_preservation/primitive_kernel_rows.csv,verified,kernel rows define primitive spaces but do not prove ML exactness
firewall_ambient_hall_transition,ambient_hall_transition,true,0,certificates/sources/k3e_compact_hall/transitions.csv,verified,an ambient transition matrix is not a restricted primitive tower with stabilized images
firewall_signed_multiplicity,signed_multiplicity,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,signed multiplicities do not determine primitive-space inverse-limit exactness
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds denominator product is a target identity not a primitive-source ML witness
firewall_target_window,target_window,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,target BKM windows do not supply source primitive image stabilization
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace does not compute R1lim of primitive spaces
firewall_protected_trace,protected_trace,true,0,certificates/trace/k3e_protected_trace,verified,protected traces are scalar shadows not primitive-space image data
firewall_pbw_transition_only,pbw_transition_only,true,0,certificates/hall/transition_pbw_filtration_preservation,verified,PBW filteredness is a later quotient-filtered condition not primitive-space ML
firewall_radical_transition_only,radical_transition_only,true,0,certificates/hall/transition_radical_preservation,verified,radical transition preservation presupposes primitive transitions and does not prove primitive-space ML
firewall_parity_transition_only,parity_transition_only,true,0,certificates/hall/transition_parity_decomposition_preservation,verified,parity preservation does not prove image stabilization on each parity tower
firewall_formal_charge_window,formal_charge_window,true,0,certificates/charge/k3e_charge_window,verified,charge windows do not supply primitive transition maps or image bases
firewall_empty_ml_status,empty_ml_status,true,0,certificates/sources/k3e_compact_hall/transitions.csv,verified,a header-only transition table proves no R1lim vanishing
