obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,cochain_status,proof_reference,check_status,notes
populated_orientation_cocycle,cocycle,populated_row_309_cocycle,cocycle_value_rows.csv,cocycle_value_rows,c_o_R_values_for_all_composable_pairs,row_311_cannot_choose_a_preimage_without_the_target_cocycle_vector,missing_open_obligation,certificates/orientation/rhomred_weyl_orientation_cocycle/blocked_obligations.csv,verified,row_309_values_absent
cocycle_closedness,cocycle,cocycle_defect_zero_rows,cocycle_defect_rows.csv,cocycle_defect,dc_o_R_equals_zero_on_composable_triples,killing_cochain_is_for_a_closed_two_cocycle,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,no_closedness_rows_supplied
cochain_complex,cochain_complex,normalized_groupoid_cochain_complex,cochain_complex_rows.csv,C1_basis_id_and_d1_matrix_id,bases_for_C1_C2_and_matrix_d1,cochain_coordinates_are_meaningless_without_the_complex_basis,missing_open_obligation,certificates/orientation/rhomred_weyl_orientation_cocycle_class_vanishing/cochain_complex_rows.csv,verified,no_complex_rows_supplied
rank_certificate,linear_algebra,row_310_rank_certificate,class_vanishing_rows.csv,rank_certificate,d1_rank_equals_augmented_rank_and_class_rank_zero,row_311_uses_the_existence_result_before_choosing_a_solution,missing_open_obligation,certificates/orientation/rhomred_weyl_orientation_cocycle_class_vanishing/class_vanishing_rows.csv,verified,no_rank_certificate_supplied
cochain_vector,cochain,chosen_one_cochain_vector,cochain_witness_rows.csv,cochain_vector_id,b_R_coordinates_in_the_C1_basis,this_is_the_actual_row_311_construction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,no_b_R_vector_supplied
gauge_normalization,cochain,cochain_gauge_choice,cochain_witness_rows.csv,cochain_gauge_id,choice_modulo_kernel_of_d1,residual_H1_torsor_must_be_recorded_or_gauge_fixed,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,no_gauge_row_supplied
coboundary_equation,linear_algebra,coboundary_defect_zero_row,cochain_defect_rows.csv,coboundary_defect_rank,d1_b_R_minus_v_c_o_R_has_rank_zero,this_verifies_that_the_chosen_cochain_kills_the_cocycle,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,no_defect_row_supplied
coxeter_cochain_table,orientation_ledger,coxeter_cochain_trivialization_row,coxeter_cocycles.csv,cochain_trivialization,cochain_id_and_cochain_defect_rank_zero,the_reduced_orientation_ledger_still_lacks_the_Coxeter_cochain_row,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_coxeter_cochain_row_supplied
transition_compatibility_later,transition,compatibility_under_R_to_Rprime,transitions.csv,coxeter_cochain_transition,chosen_b_R_pulls_back_to_b_Rprime,row_312_not_row_311,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1479,verified,row_312_left_separate
no_rank_only_substitution,firewall,row_310_rank_only_firewall,scalar_firewall.csv,rank_certificate_only_excluded,existence_does_not_record_a_chosen_cochain_vector,prevents_row_310_from_being_read_as_row_311,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,firewall_records_exclusion
no_target_coxeter_substitution,firewall,target_Coxeter_firewall,scalar_firewall.csv,target_coxeter_graph_excluded,target_relations_do_not_choose_source_orientation_cochains,prevents_target_relations_from_replacing_the_source_vector,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,firewall_records_exclusion
no_maass_character_substitution,firewall,Maass_character_firewall,scalar_firewall.csv,maass_character_excluded,Maass_character_is_scalar_multiplier_not_a_C1_vector,prevents_scalar_multiplier_from_constructing_b_R,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-cochain-trivialization-criterion,verified,firewall_records_exclusion
