obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,cosection_status,proof_reference,check_status,notes
cosection_surjectivity,cosection,cosection_surjectivity,surjectivity_rows.csv,surjectivity_row,cosection_surjectivity_defect_rank=0,optimization_row_274,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1330,verified,row_273_constructs_map_only
filtered_hall_additivity,cosection,filtered_Hall_additivity,additivity_rows.csv,extension_stack_row,qstar_CS_equals_p1star_plus_p2star,Hall_products_require_cosection_additivity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,additivity_on_exact_triangles_not_supplied
rhom_red,reduced_obstruction,RHomred_definition,rhom_red_rows.csv,rhom_red_row,reduced_self_Ext_complex_defined,optimization_row_275,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1331,verified,reduced_RHom_requires_cosection_kernel_data
perfect_reduced_obstruction,reduced_obstruction,perfect_reduced_obstruction,perfectness_rows.csv,perfectness_row,reduced_obstruction_complex_perfect,optimization_row_276,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1332,verified,perfectness_not_supplied_by_cosection_formula
det_rhom_red,orientation,det_RHomred,determinant_rows.csv,determinant_line_row,determinant_line_of_reduced_self_Ext_complex,optimization_row_277,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1333,verified,determinant_line_not_supplied
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,square_root_of_determinant_line,optimization_row_278,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1334,verified,square_root_not_supplied
quotient_orientation,orientation,quotient_orientation,quotient_borel.csv,quotient_row,quotient_orientation_descends,needed_for_O1,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,quotient_orientation_not_supplied
transition_compatibility,transition,cosection_transition_compatibility,transition_rows.csv,transition_row,cosection_compatibility_under_R_to_Rprime,needed_for_pro_object_coherence,missing_open_obligation,certificates/vanishing_cycles/transition_vanishing_cycle_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,needed_for_Hall_coefficients,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,cosection_formula_does_not_define_coefficient_system
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,needed_for_pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
