terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,terminal_in_base,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_0_17_15,tsrse_delta_2_beta_0_14_15,0,17,15,0,2,17,32,8,0,false,1,1,beta_0_16_15,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_0_18_16,tsrse_delta_2_beta_0_15_16,0,18,16,0,2,18,34,8,0,false,1,3,beta_0_16_15;beta_0_16_16;beta_0_17_16,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_14_59_15,tsrse_delta_2_beta_14_0_15,14,59,15,14,58,59,88,120,0,false,1,1,beta_0_16_15,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_15_61_15,tsrse_delta_2_beta_15_0_15,15,61,15,15,61,61,91,122,0,false,1,1,beta_0_16_15,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_15_63_16,tsrse_delta_2_beta_15_0_16,15,63,16,15,62,63,94,128,0,false,1,3,beta_0_16_15;beta_0_16_16;beta_0_17_16,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_17_0_15,tsrse_delta_1_beta_14_0_15,17,0,15,17,2,0,32,8,0,false,1,1,beta_16_0_15,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_18_0_16,tsrse_delta_1_beta_15_0_16,18,0,16,18,2,0,34,8,0,false,1,3,beta_16_0_15;beta_16_0_16;beta_17_0_16,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_59_14_15,tsrse_delta_1_beta_0_14_15,59,14,15,59,58,14,88,120,0,false,1,1,beta_16_0_15,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_61_15_15,tsrse_delta_1_beta_0_15_15,61,15,15,61,61,15,91,122,0,false,1,1,beta_16_0_15,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
beta_63_15_16,tsrse_delta_1_beta_0_15_16,63,15,16,63,62,15,94,128,0,false,1,3,beta_16_0_15;beta_16_0_16;beta_17_0_16,compute/verify_wrel_degree_closure_fixture.py third_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the third 6-row saturation extension; target-degree audit only
