obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
retained_splitting_correspondence,correspondence,retained_splitting_correspondence_rows,coproduct_operator_rows.csv,splitting_correspondence,q_colon_E_to_M_sum_and_p_colon_E_to_M_times_M,the formula has no geometric domain without the splitting correspondence,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_coproduct_operator_rows_supplied
pullback_functor_exists,six_functor,q_star_existence_rows,coproduct_operator_rows.csv,pullback_row,q_star_exists_for_the_chosen_six_functor_formalism,row347_names_q_star_but_does_not_prove_its_existence,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_q_star_rows_supplied
inverse_thom_sebastiani_transport,coefficient,inverse_TS_coproduct_rows,coproduct_operator_rows.csv,inverse_ts_row,TSred_inverse_from_q_star_source_coefficients_to_two_output_coefficients,the_middle_factor_of_Delta_R_is_not supplied by notation alone,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_inverse_TS_row_supplied
exceptional_pushforward_p_exists,six_functor,p_bang_existence_rows,coproduct_operator_rows.csv,pushforward_row,p_bang_exists_for_reversed_correspondence,row348_is_the_existence_obligation_for_p_bang,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,row348_left_open
compactification_independence,six_functor,p_bang_compactification_independence_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,choice_independence,p_bang_independent_of_compactification,coproduct_pushforward_needs_choice_independence_before_matrix_population,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_choice_independence_rows_supplied
coproduct_matrix_rows,matrix,source_coproduct_matrix_rows,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_in_homogeneous_bases,a_populated_coproduct_requires_matrix_entries_after_the_geometric_pull_push,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_D_entries_supplied
counit_rows,hall_coalgebra,source_counit_rows,certificates/sources/k3e_compact_hall/unit_counit.csv,counit,finite_counit_entries_for_the_zero_object,a_counital_coalgebra_needs_the_augmentation_not_only_Delta_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_counit_rows_supplied
coassociativity_rows,hall_bialgebra,coassociativity_rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,coassociativity,zero_coassociativity_defect_rank,row349_is_the_coassociativity_obligation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_coassociativity_rows_supplied
bialgebra_compatibility_rows,hall_bialgebra,bialgebra_compatibility_rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,bialgebra_identity,Delta_m_equals_m_tensor_m_after_Koszul_braiding,row350_is_the_bialgebra_compatibility_obligation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_bialgebra_identity_rows_supplied
transition_coproduct_rows,transition,coproduct_transition_rows,certificates/hall/transition_hall_coproduct_preservation/coproduct_matrix_transport.csv,intertwining_defect_zero,coproduct_matrix_intertwines_with_HN_transitions,the_pro_object_coproduct_requires_transition_preservation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,no_transition_coproduct_rows_supplied
primitive_closure_rows,primitive,primitive_closure_rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,primitive_closure,reduced_coproduct_and_product_preserve_primitive_kernel,coproduct_definition_alone_does_not_define_primitives,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,primitive_claim_excluded
