obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,two_sided_status,proof_reference,check_status,notes
flag_stack_rows,two_sided_flag,actual two-sided mixed flag stack rows,flag_stack_rows.csv,flag_stack_row,LWL flag stack for each retained local wrapped local colour triple,row 211 defines the type but does not populate finite flag stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:two-sided-mixed-correspondence-datum,verified,no flag stack rows supplied
source_target_map_rows,two_sided_maps,source and target maps for LWL diagram,source_target_map_rows.csv,map_row,p and q maps to local/wrapped/local source carrier and wrapped target carrier,the definition states the formulas but map rows remain unpopulated,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:two-sided-mixed-correspondence-datum,verified,no source-target map rows supplied
target_wrapped_colour_rows,degree_map,target wrapped colour verification,flag_stack_rows.csv,target_colour_row,zeta equals alpha_minus plus eta plus beta_plus and lies in Gamma_R_wr,this uses b_R^geom additivity rows not supplied in this packet,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_additivity/README.md:1,verified,no target colour rows supplied
anchor_memory_rows,anchor_memory,source and target anchors before quotient,anchor_memory_rows.csv,anchor_memory_row,middle source anchor target anchor and relative anchor retained before quotient,row 212 defines the common before-quotient anchor-memory type and populated LWL rows remain absent,missing_open_obligation,certificates/hybrid/source_target_anchor_memory_definition/definition_rows.csv:1,verified,no populated LWL anchor memory rows supplied
admissibility_rows,admissibility,exceptional pushforward admissibility for two-sided mixed stacks,admissibility_rows.csv,admissibility_row,compact-support exceptional pushforward model and admissibility defect zero,row 222 asks for admissibility of mixed extension stacks,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1186,verified,no admissibility rows supplied
base_change_rows,base_change,base-change for two-sided mixed correspondences,base_change_rows.csv,base_change_row,Cartesian squares and base-change defect zero,row 225 asks for base-change for mixed correspondences,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1189,verified,no base-change rows supplied
projection_formula_rows,projection_formula,projection formula for two-sided mixed correspondences,projection_formula_rows.csv,projection_formula_row,coefficient objects and projection-formula defect zero,row 226 asks for projection formula for mixed correspondences,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1190,verified,no projection-formula rows supplied
thom_sebastiani_rows,thom_sebastiani,Thom-Sebastiani transport for two-sided mixed correspondences,thom_sebastiani_rows.csv,ts_row,vanishing-cycle source and target identifications with TS defect zero,row 227 asks for Thom-Sebastiani transport for mixed correspondences,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1191,verified,no Thom-Sebastiani rows supplied
transition_rows,transition,finite-stage two-sided mixed correspondence transitions,transition_rows.csv,transition_row,R to Rprime maps compatible with colours maps and anchors,the pro-correspondence category needs compatible LWL arrows,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,no transition rows supplied
eight_word_flag_atlas_separate,flag_atlas,eight-word two-step flag atlas,flag_stack_rows.csv,eight_word_flag_row,LLL LLW LWL WLL LWW WLW WWL WWW two-step associativity atlas,row 228 and row 229 are separate from row 211,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1192,verified,no eight-word atlas rows supplied
one_sided_mixed_separate,mixed,one-sided mixed correspondence definition,flag_stack_rows.csv,one_sided_mixed_row,LW and WL extension stack definitions,row 208 is separate from row 211,missing_open_obligation,certificates/hybrid/mixed_local_wrapped_correspondence_definition/README.md:1,verified,no one-sided mixed rows supplied here
local_local_separate,local_local,local-local correspondence definition,flag_stack_rows.csv,local_local_row,LL extension stack definition for two local inputs,row 210 is separate from row 211,missing_open_obligation,certificates/hybrid/local_local_correspondence_definition/README.md:1,verified,no local-local rows supplied here
wrapped_wrapped_separate,wrapped_wrapped,wrapped-wrapped correspondence definition,flag_stack_rows.csv,wrapped_wrapped_row,WW extension stack definition for two wrapped inputs,row 209 is separate from row 211,missing_open_obligation,certificates/hybrid/wrapped_wrapped_correspondence_definition/README.md:1,verified,no wrapped-wrapped rows supplied here
