obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,linearization_status,proof_reference,check_status,notes
orientation_line_action,row_288,H_action_on_trivialized_orientation_line,finite_linearization_rows.csv,action_row,H_to_Aut_o_plusminus,row_288_computes_the_sign_character_from_this_action,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,no_orientation_line_action_row_supplied
beta_nulltrivialization,row_287,compatible_beta_nulltrivialization,beta_nulltrivialization_rows.csv,cochain_row,degree_two_gerbe_killed_before_character_torsor,row_288_is_after_the_degree_two_gerbe_is_trivialized,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/blocked_obligations.csv,verified,row_287_nulltrivialization_not_supplied
finite_linearization_row,row_288,finite_stabilizer_linearization,finite_linearization_rows.csv,lambda_row,lambda_H_in_H1_BH_F2,row_288_requires_an_actual_linearization_row_for_each_retained_H,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1383,verified,no_finite_linearization_row_supplied
generator_basis,row_288,retained_H_generator_basis,finite_linearization_rows.csv,generator_basis_row,ordered_two_primary_generators_and_dual_H1_basis,coordinate_formula_needs_basis_provenance,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,no_generator_basis_row_supplied
character_value,row_288,sign_values_on_generators,finite_linearization_rows.csv,character_value_row,rho_i_or_lambda_i_values,lambda_coordinates_are_computed_from_generator_values,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,no_character_values_supplied
h1_coordinate,row_288,H1_coordinate_computation,finite_linearization_rows.csv,H1_coordinate_row,lambda_H_coordinates_in_H1_BH_F2,row_288_output_is_the_H1_coordinate_vector,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,no_H1_coordinate_row_supplied
all_retained_h_coverage,row_288,all_retained_H_coverage,finite_linearization_rows.csv,coverage_row,every_retained_H_checked,row_288_is_universal_over_retained_finite_stabilizers,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,no_all_retained_H_linearization_coverage_row_supplied
lambda_character,row_288,computed_linearization_character,finite_linearization_rows.csv,lambda_character_row,lambda_H_computed_for_every_retained_H,row_288_is_open_until_all_characters_are_computed,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1383,verified,no_lambda_character_row_supplied
lambda_vanishing,row_289,zero_linearization_character,finite_linearization_rows.csv,lambda_zero_row,lambda_H_equals_zero,row_289_is_separate_from_row_288_computation,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1384,verified,no_linearization_zero_row_supplied
anchor_stabilizer_linearization,hybrid,coherent_anchor_stabilizer_linearization,stabilizer_linearization_rows.csv,linearization_row,character_formula_and_zero_defect_for_anchor,determinant_anchor_translation_weight_does_not_choose_coherent_stabilizer_linearization,missing_open_obligation,certificates/hybrid/determinant_anchor_translation_weight/blocked_obligations.csv,verified,no_anchor_stabilizer_linearization_row_supplied
quotient_borel_row,O1,quotient_orientation_payload,quotient_borel.csv,linearization_row,finite_stabilizer_linearization_payload,quotient_orientation_needs_the_linearization_payload,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_borel_linearization_row_supplied
transition_compatibility,O1,successor_transport,transitions.csv,linearization_transport_row,lambda_H_transport_under_successors,O1_needs_compatible_finite_stabilizer_data_across_R,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,no_linearization_transport_row_supplied
vanishing_cycle_complex,O1,BBDJS_complex,vanishing_cycles.csv,finite_stabilizer_orientation_payload,reduced_vanishing_cycle_coefficients,orientation_data_needed_before_vanishing_cycles,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,no_vanishing_cycle_row_supplied
protected_integration,O1,protected_integral,protected_integration.csv,finite_stabilizer_orientation_payload,protected_trace_after_orientation,scalar_shadow_requires_orientation_data,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_row_supplied
