firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_mixed_definition_only,mixed_definition_only,true,0,certificates/hybrid/mixed_local_wrapped_correspondence_definition/manifest.json,verified,definition is not projection formula
firewall_mixed_admissibility_only,mixed_admissibility_only,true,0,certificates/hybrid/mixed_local_wrapped_extension_admissibility/manifest.json,verified,admissibility is not projection formula
firewall_compact_support_model_only,compact_support_model_only,true,0,certificates/hybrid/compact_support_exceptional_pushforward_model/manifest.json,verified,compact-support model is not projection formula
firewall_base_change_only,base_change_only,true,0,certificates/hybrid/mixed_correspondence_base_change/manifest.json,verified,base change is not projection formula
firewall_no_target_coefficient,no_target_coefficient,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:mixed-correspondence-projection-formula,verified,projection formula requires a target coefficient
firewall_non_finite_tor_coefficient,non_finite_tor_coefficient,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:mixed-correspondence-projection-formula,verified,retained finite-Tor coefficient is required
firewall_thom_sebastiani,thom_sebastiani,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1191,verified,projection formula is not Thom-Sebastiani transport
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:mixed-correspondence-projection-formula,verified,projection formula is before quotient descent
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:mixed-correspondence-projection-formula,verified,scalar trace is not correspondence-level functoriality
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate carrier population remains separate
