obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,pfaffian_status,proof_reference,check_status,notes
retained_strata,strata,retained quotient Pfaffian strata,strata.csv,retained_stratum,retained_status=verified with hn_height and quotient_chart_id,P_fin requires a finite geometric domain for the Pfaffian line,missing_open_obligation,appendices/G_obstruction_discharges.tex:115,verified,no retained stratum row supplied
skew_perfect_complex,skew_complex,cosection-reduced skew perfect complex,skew_complexes.csv,skew_self_dual_complex,amplitude rank_even rank_odd and defect_rank=0,Pfaffian line is defined from a skew self-dual perfect complex,missing_open_obligation,chapters/06_pfaffian_dirac.tex:384,verified,no skew complex row supplied
skew_obstruction_theory,skew_complex,reduced obstruction theory row,skew_complexes.csv,obstruction_theory,obstruction_theory_id and defect_rank=0,The determinant section must be tied to the reduced obstruction theory,missing_open_obligation,appendices/G_obstruction_discharges.tex:119,verified,no obstruction theory row supplied
skew_quotient_compatibility,skew_complex,E-quotient compatibility row,skew_complexes.csv,quotient_compatibility,quotient_compatibility_id and defect_rank=0,The Pfaffian line lives on the reduced E-quotient chart,missing_open_obligation,chapters/06_pfaffian_dirac.tex:444,verified,no quotient compatibility row supplied
pfaffian_line,pfaffian_line,Pfaffian determinant line,pfaffian_lines.csv,determinant_line,determinant_line_id with line_id and complex_id,P_fin requires a constructed line not a scalar product,missing_open_obligation,chapters/06_pfaffian_dirac.tex:384,verified,no Pfaffian line row supplied
pfaffian_square,pfaffian_line,determinant square isomorphism,pfaffian_lines.csv,square_isomorphism,square_defect_rank=0,Squaring compatibility is needed before comparison with chi_10,missing_open_obligation,chapters/06_pfaffian_dirac.tex:417,verified,no square isomorphism row supplied
pfaffian_orientation,pfaffian_line,orientation input for Pfaffian line,pfaffian_lines.csv,orientation_id,orientation_id and square_defect_rank=0,The Pfaffian section depends on the retained orientation datum,missing_open_obligation,chapters/06_pfaffian_dirac.tex:568,verified,no orientation row supplied
section_active_support,pfaffian_section,active support row,pfaffian_sections.csv,active_support,active_support in active or inactive,The Pfaffian product is over active support not all formal degrees,missing_open_obligation,chapters/06_pfaffian_dirac.tex:385,verified,no active support row supplied
section_parity_ranks,pfaffian_section,finite parity ranks,pfaffian_sections.csv,even_odd_ranks,even_rank and odd_rank integral,The determinant exponent must be supported by parity ranks,missing_open_obligation,chapters/06_pfaffian_dirac.tex:385,verified,no parity rank row supplied
section_borcherds_exponent,pfaffian_section,Borcherds exponent comparison,pfaffian_sections.csv,borcherds_exponent,borcherds_exponent with exponent_residual=0,The Pfaffian section must realize the exponent row as a section coefficient,missing_open_obligation,chapters/06_pfaffian_dirac.tex:464,verified,no exponent row supplied
