obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
retained_extension_stack,moduli,retained_extension_stack_row,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,extension_stack,extension_stack_for_E_R_c_cprime,the_pushforward_leg_has_no_domain_without_the_extension_stack,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_extension_stack_rows_supplied
q_map_row,correspondence,q_map_row,pushforward_rows.csv,q_map,q_colon_E_to_M_sum_with_source_and_target_stack_ids,q_bang_is_attached_to_a_specific_morphism_not_to_notation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_q_map_rows_supplied
q_map_proper_or_compactified,six_functor,q_properness_or_compactification_witness,pushforward_rows.csv,q_proper_or_compactified,q_is_proper_or_q_equals_bar_q_after_open_immersion,exceptional_pushforward_requires_properness_or_a_compact_support_model,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_q_properness_or_compactification_witness_supplied
compact_support_model_population,six_functor,q_compact_support_model_row,certificates/hybrid/compact_support_exceptional_pushforward_model/map_population_rows.csv,map_population,q_specific_j_q_and_bar_q_for_the_retained_Hall_correspondence,the_general_model_does_not_populate_the_Hall_q_map,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,map_population_table_header_only
input_coefficient_constructible,coefficient,input_coefficient_constructibility,certificates/moduli/k3e_finite_moduli/cosection_atlas.csv,coefficient_row,K_E_after_p_star_and_TSred_on_extension_stack,pushforward_preserves_the_constructible_coefficient_only_after_the_coefficient_is_supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_coefficient_row_supplied
reduced_thom_sebastiani_row,coefficient,reduced_TS_product_rows,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,ts_row,TSred_from_p_star_input_to_K_E,the_q_bang_input_coefficient_is_after_reduced_Thom_Sebastiani_transport,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_TS_product_row_supplied
pushforward_row,six_functor,populated_pushforward_row,pushforward_rows.csv,pushforward_row,q_bang_input_coefficient_to_target_coefficient,row344_requires_the_actual_q_bang_leg_for_each_retained_product_block,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,pushforward_rows_table_header_only
compactification_independence_separate,row345,choice_independence_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,choice_independence,q_bang_independent_of_compactification,row345_is_later_than_the_existence_criterion,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_choice_independence_rows_supplied
row342_notation_not_qbang,row342,product_operator_notation,certificates/hall/finite_hall_product_operator/manifest.json,product_operator_definition,m_R_formula_contains_q_bang_but_pushforward_exists_proved_false,row342_explicitly_left_q_bang_open,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,row342_not_promoted
row343_pullback_not_qbang,row343,pullback_criterion,certificates/hall/finite_hall_product_pullback_functor/manifest.json,pullback_obstruction,p_star_criterion_does_not_supply_target_pushforward,the_pullback_leg_is_distinct_from_the_exceptional_pushforward_leg,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,row343_not_promoted
product_matrix_rows,matrix,source_product_matrix_rows,certificates/sources/k3e_compact_hall/M_entries.csv,product_matrix,finite_source_product_constants_in_homogeneous_bases,a_populated_product_requires_matrix_entries_after_the_geometric_pull_push,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,no_M_entries_supplied
